borough,variable,value,borough_category,is_per_capita
Barking and Dagenham,Early years,33429.0,Outer London,0
Barnet,Early years,34564.0,Outer London,0
Bexley,Early years,32356.0,Outer London,0
Brent,Early years,37384.0,Outer London,0
Bromley,Early years,39637.0,Outer London,0
Camden,Early years,19718.0,Inner London,0
Croydon,Early years,49089.0,Outer London,0
Ealing,Early years,40062.0,Outer London,0
Enfield,Early years,41504.0,Outer London,0
Greenwich,Early years,33544.0,Outer London,0
Hackney,Early years,64806.0,Inner London,0
Hammersmith and Fulham,Early years,18954.0,Inner London,0
Haringey,Early years,34394.0,Inner London,0
Harrow,Early years,29269.0,Outer London,0
Havering,Early years,33941.0,Outer London,0
Hillingdon,Early years,37878.0,Outer London,0
Hounslow,Early years,23805.0,Outer London,0
Islington,Early years,3870.0,Inner London,0
Kensington and Chelsea,Early years,13246.0,Inner London,0
Kingston upon Thames,Early years,19919.0,Outer London,0
Lambeth,Early years,42250.0,Inner London,0
Lewisham,Early years,34340.0,Inner London,0
Merton,Early years,34802.0,Outer London,0
Newham,Early years,43805.0,Inner London,0
Redbridge,Early years,38012.0,Outer London,0
Richmond upon Thames,Early years,22127.0,Outer London,0
Southwark,Early years,24854.0,Inner London,0
Sutton,Early years,27000.0,Outer London,0
Tower Hamlets,Early years,50374.0,Inner London,0
Waltham Forest,Early years,36916.0,Outer London,0
Wandsworth,Early years,22125.0,Inner London,0
Westminster,Early years,13282.0,Inner London,0
Barking and Dagenham,Primary schools,141681.0,Outer London,0
Barnet,Primary schools,147404.0,Outer London,0
Bexley,Primary schools,42018.0,Outer London,0
Brent,Primary schools,123758.0,Outer London,0
Bromley,Primary schools,20115.0,Outer London,0
Camden,Primary schools,76009.0,Inner London,0
Croydon,Primary schools,57150.0,Outer London,0
Ealing,Primary schools,180582.0,Outer London,0
Enfield,Primary schools,110865.0,Outer London,0
Greenwich,Primary schools,129980.0,Outer London,0
Hackney,Primary schools,140472.0,Inner London,0
Hammersmith and Fulham,Primary schools,45356.0,Inner London,0
Haringey,Primary schools,148264.0,Inner London,0
Harrow,Primary schools,76967.0,Outer London,0
Havering,Primary schools,121196.0,Outer London,0
Hillingdon,Primary schools,114614.0,Outer London,0
Hounslow,Primary schools,121637.0,Outer London,0
Islington,Primary schools,84384.0,Inner London,0
Kensington and Chelsea,Primary schools,45832.0,Inner London,0
Kingston upon Thames,Primary schools,60104.0,Outer London,0
Lambeth,Primary schools,144847.0,Inner London,0
Lewisham,Primary schools,164193.0,Inner London,0
Merton,Primary schools,73574.0,Outer London,0
Newham,Primary schools,145126.0,Inner London,0
Redbridge,Primary schools,126981.0,Outer London,0
Richmond upon Thames,Primary schools,84897.0,Outer London,0
Southwark,Primary schools,141335.0,Inner London,0
Sutton,Primary schools,56194.0,Outer London,0
Tower Hamlets,Primary schools,185268.0,Inner London,0
Waltham Forest,Primary schools,96115.0,Outer London,0
Wandsworth,Primary schools,101479.0,Inner London,0
Westminster,Primary schools,46433.0,Inner London,0
Barking and Dagenham,Secondary schools,83611.0,Outer London,0
Barnet,Secondary schools,46076.0,Outer London,0
Bexley,Secondary schools,4848.0,Outer London,0
Brent,Secondary schools,21172.0,Outer London,0
Bromley,Secondary schools,14038.0,Outer London,0
Camden,Secondary schools,76275.0,Inner London,0
Croydon,Secondary schools,12180.0,Outer London,0
Ealing,Secondary schools,90115.0,Outer London,0
Enfield,Secondary schools,68061.0,Outer London,0
Greenwich,Secondary schools,76644.0,Outer London,0
Hackney,Secondary schools,73676.0,Inner London,0
Hammersmith and Fulham,Secondary schools,4255.0,Inner London,0
Haringey,Secondary schools,73743.0,Inner London,0
Harrow,Secondary schools,10183.0,Outer London,0
Havering,Secondary schools,9472.0,Outer London,0
Hillingdon,Secondary schools,16643.0,Outer London,0
Hounslow,Secondary schools,26810.0,Outer London,0
Islington,Secondary schools,42526.0,Inner London,0
Kensington and Chelsea,Secondary schools,12042.0,Inner London,0
Kingston upon Thames,Secondary schools,3511.0,Outer London,0
Lambeth,Secondary schools,56545.0,Inner London,0
Lewisham,Secondary schools,64793.0,Inner London,0
Merton,Secondary schools,39416.0,Outer London,0
Newham,Secondary schools,82413.0,Inner London,0
Redbridge,Secondary schools,100294.0,Outer London,0
Richmond upon Thames,Secondary schools,10774.0,Outer London,0
Southwark,Secondary schools,29092.0,Inner London,0
Sutton,Secondary schools,21536.0,Outer London,0
Tower Hamlets,Secondary schools,130706.0,Inner London,0
Waltham Forest,Secondary schools,93859.0,Outer London,0
Wandsworth,Secondary schools,12677.0,Inner London,0
Westminster,Secondary schools,12243.0,Inner London,0
Barking and Dagenham,Special schools and alternative provision,55688.0,Outer London,0
Barnet,Special schools and alternative provision,29227.0,Outer London,0
Bexley,Special schools and alternative provision,26113.0,Outer London,0
Brent,Special schools and alternative provision,55812.0,Outer London,0
Bromley,Special schools and alternative provision,44869.0,Outer London,0
Camden,Special schools and alternative provision,54431.0,Inner London,0
Croydon,Special schools and alternative provision,78998.0,Outer London,0
Ealing,Special schools and alternative provision,75402.0,Outer London,0
Enfield,Special schools and alternative provision,55908.0,Outer London,0
Greenwich,Special schools and alternative provision,36954.0,Outer London,0
Hackney,Special schools and alternative provision,17604.0,Inner London,0
Hammersmith and Fulham,Special schools and alternative provision,17999.0,Inner London,0
