,borough,council_tax_202425_ex_gla,borough_category
0,Barking and Dagenham,"1,531",Outer London
1,Barnet,"1,472",Outer London
2,Bexley,"1,684",Outer London
3,Brent,"1,565",Outer London
4,Bromley,"1,478",Outer London
5,Camden,"1,539",Inner London
7,Croydon,"1,896",Outer London
8,Ealing,"1,477",Outer London
9,Enfield,"1,594",Outer London
10,Greenwich,"1,449",Outer London
11,Hackney,"1,406",Inner London
12,Hammersmith and Fulham,915,Inner London
13,Haringey,"1,636",Inner London
14,Harrow,"1,815",Outer London
15,Havering,"1,737",Outer London
16,Hillingdon,"1,393",Outer London
17,Hounslow,"1,520",Outer London
18,Islington,"1,449",Inner London
19,Kensington and Chelsea,"1,058",Inner London
20,Kingston upon Thames,"1,904",Outer London
21,Lambeth,"1,394",Inner London
22,Lewisham,"1,567",Inner London
23,Merton,"1,528",Outer London
24,Newham,"1,253",Inner London
25,Redbridge,"1,618",Outer London
26,Richmond upon Thames,"1,792",Outer London
27,Southwark,"1,322",Inner London
28,Sutton,"1,695",Outer London
29,Tower Hamlets,"1,204",Inner London
30,Waltham Forest,"1,702",Outer London
31,Wandsworth,497,Inner London
32,Westminster,502,Inner London
