borough,borough_category,is_per_capita,variable,value
Barking and Dagenham,Outer London,1,Business Rates,357.7706715395158
Barking and Dagenham,Outer London,1,Council Tax Requirement,384.1754225673824
Barking and Dagenham,Outer London,1,Grants,1722.8917313841937
Barking and Dagenham,Outer London,1,Other,0.1873001370488807
Barking and Dagenham,Outer London,1,Reserves Change,40.24211968935587
Barking and Dagenham,Outer London,1,Revenue Expenditure,2606.948378254911
Barking and Dagenham,Outer London,1,Revenue Support Grant,101.68113293741436
Barnet,Outer London,1,Business Rates,198.7978422810172
Barnet,Outer London,1,Council Tax Requirement,589.1446185461084
Barnet,Outer London,1,Grants,881.9111225276137
Barnet,Outer London,1,Other,-0.0
Barnet,Outer London,1,Reserves Change,51.659388646288214
Barnet,Outer London,1,Revenue Expenditure,1743.7503210891343
Barnet,Outer London,1,Revenue Support Grant,22.237349088106857
Bexley,Outer London,1,Business Rates,214.92494929006085
Bexley,Outer London,1,Council Tax Requirement,573.6795131845842
Bexley,Outer London,1,Grants,655.6511156186613
Bexley,Outer London,1,Other,-0.0
Bexley,Outer London,1,Reserves Change,-46.97768762677485
Bexley,Outer London,1,Revenue Expenditure,1414.738336713996
Bexley,Outer London,1,Revenue Support Grant,17.460446247464503
Brent,Outer London,1,Business Rates,335.9741024131842
Brent,Outer London,1,Council Tax Requirement,476.93643319599767
Brent,Outer London,1,Grants,1053.6845203060625
Brent,Outer London,1,Other,-0.0
Brent,Outer London,1,Reserves Change,9.178928781636255
Brent,Outer London,1,Revenue Expenditure,1966.67745732784
Brent,Outer London,1,Revenue Support Grant,90.9034726309594
Bromley,Outer London,1,Business Rates,152.13636363636363
Bromley,Outer London,1,Council Tax Requirement,606.1090909090909
Bromley,Outer London,1,Grants,551.8818181818182
Bromley,Outer London,1,Other,48.18181818181818
Bromley,Outer London,1,Reserves Change,11.833333333333334
Bromley,Outer London,1,Revenue Expenditure,1370.1424242424243
Bromley,Outer London,1,Revenue Support Grant,-0.0
Camden,Inner London,1,Business Rates,581.5088053307949
Camden,Inner London,1,Council Tax Requirement,671.7372679676345
Camden,Inner London,1,Grants,1519.4811994288434
Camden,Inner London,1,Other,-91.02332222751072
Camden,Inner London,1,Reserves Change,47.291765825797235
Camden,Inner London,1,Revenue Expenditure,2863.341266063779
Camden,Inner London,1,Revenue Support Grant,134.3455497382199
Croydon,Outer London,1,Business Rates,250.64738996929376
Croydon,Outer London,1,Council Tax Requirement,664.6903787103378
Croydon,Outer London,1,Grants,827.5307062436028
Croydon,Outer London,1,Other,4.600818833162743
Croydon,Outer London,1,Reserves Change,-3.4646878198567044
Croydon,Outer London,1,Revenue Expenditure,1789.598259979529
Croydon,Outer London,1,Revenue Support Grant,45.59365404298874
Ealing,Outer London,1,Business Rates,290.5938436393353
Ealing,Outer London,1,Council Tax Requirement,495.2982838463634
Ealing,Outer London,1,Grants,1269.4906020157996
Ealing,Outer London,1,Other,4.306728411876873
Ealing,Outer London,1,Reserves Change,13.576682102969217
Ealing,Outer London,1,Revenue Expenditure,2132.6450558430947
Ealing,Outer London,1,Revenue Support Grant,59.3789158267502
Enfield,Outer London,1,Business Rates,298.58484848484846
Enfield,Outer London,1,Council Tax Requirement,497.3272727272727
Enfield,Outer London,1,Grants,1188.8969696969698
Enfield,Outer London,1,Other,3.06969696969697
Enfield,Outer London,1,Reserves Change,2.0545454545454547
Enfield,Outer London,1,Revenue Expenditure,2057.0030303030303
Enfield,Outer London,1,Revenue Support Grant,67.06969696969696
Greenwich,Outer London,1,Business Rates,387.7101349014182
Greenwich,Outer London,1,Council Tax Requirement,434.2960913178831
Greenwich,Outer London,1,Grants,1288.1528882739535
