borough,variable,value,borough_category,is_per_capita
Barking and Dagenham,Dedicated Schools Grant (DSG),285258.0,Outer London,0
Barnet,Dedicated Schools Grant (DSG),265807.0,Outer London,0
Bexley,Dedicated Schools Grant (DSG),105311.0,Outer London,0
Brent,Dedicated Schools Grant (DSG),236472.0,Outer London,0
Bromley,Dedicated Schools Grant (DSG),116453.0,Outer London,0
Camden,Dedicated Schools Grant (DSG),212033.0,Inner London,0
Croydon,Dedicated Schools Grant (DSG),214047.0,Outer London,0
Ealing,Dedicated Schools Grant (DSG),336017.0,Outer London,0
Enfield,Dedicated Schools Grant (DSG),259510.0,Outer London,0
Greenwich,Dedicated Schools Grant (DSG),255138.0,Outer London,0
Hackney,Dedicated Schools Grant (DSG),255220.0,Inner London,0
Hammersmith and Fulham,Dedicated Schools Grant (DSG),90401.0,Inner London,0
Haringey,Dedicated Schools Grant (DSG),313301.0,Inner London,0
Harrow,Dedicated Schools Grant (DSG),165330.0,Outer London,0
Havering,Dedicated Schools Grant (DSG),169064.0,Outer London,0
Hillingdon,Dedicated Schools Grant (DSG),212730.0,Outer London,0
Hounslow,Dedicated Schools Grant (DSG),213791.0,Outer London,0
Islington,Dedicated Schools Grant (DSG),167783.0,Inner London,0
Kensington and Chelsea,Dedicated Schools Grant (DSG),79422.0,Inner London,0
Kingston upon Thames,Dedicated Schools Grant (DSG),97668.0,Outer London,0
Lambeth,Dedicated Schools Grant (DSG),255956.0,Inner London,0
Lewisham,Dedicated Schools Grant (DSG),277791.0,Inner London,0
Merton,Dedicated Schools Grant (DSG),193129.0,Outer London,0
Newham,Dedicated Schools Grant (DSG),267080.0,Inner London,0
Redbridge,Dedicated Schools Grant (DSG),302555.0,Outer London,0
Richmond upon Thames,Dedicated Schools Grant (DSG),132385.0,Outer London,0
Southwark,Dedicated Schools Grant (DSG),0.0,Inner London,0
Sutton,Dedicated Schools Grant (DSG),137110.0,Outer London,0
Tower Hamlets,Dedicated Schools Grant (DSG),433273.0,Inner London,0
Waltham Forest,Dedicated Schools Grant (DSG),210226.0,Outer London,0
Wandsworth,Dedicated Schools Grant (DSG),170307.0,Inner London,0
Westminster,Dedicated Schools Grant (DSG),95065.0,Inner London,0
Barking and Dagenham,Pupil Premium Grant,15712.0,Outer London,0
Barnet,Pupil Premium Grant,0.0,Outer London,0
Bexley,Pupil Premium Grant,1375.0,Outer London,0
Brent,Pupil Premium Grant,6522.0,Outer London,0
Bromley,Pupil Premium Grant,1300.0,Outer London,0
Camden,Pupil Premium Grant,424.0,Inner London,0
Croydon,Pupil Premium Grant,1166.0,Outer London,0
Ealing,Pupil Premium Grant,13474.0,Outer London,0
Enfield,Pupil Premium Grant,10245.0,Outer London,0
Greenwich,Pupil Premium Grant,9867.0,Outer London,0
Hackney,Pupil Premium Grant,11461.0,Inner London,0
Hammersmith and Fulham,Pupil Premium Grant,3360.0,Inner London,0
Haringey,Pupil Premium Grant,0.0,Inner London,0
Harrow,Pupil Premium Grant,0.0,Outer London,0
Havering,Pupil Premium Grant,5331.0,Outer London,0
Hillingdon,Pupil Premium Grant,8503.0,Outer London,0
Hounslow,Pupil Premium Grant,11957.0,Outer London,0
Islington,Pupil Premium Grant,11461.0,Inner London,0
Kensington and Chelsea,Pupil Premium Grant,3455.0,Inner London,0
Kingston upon Thames,Pupil Premium Grant,2463.0,Outer London,0
Lambeth,Pupil Premium Grant,711.0,Inner London,0
Lewisham,Pupil Premium Grant,10666.0,Inner London,0
Merton,Pupil Premium Grant,5973.0,Outer London,0
Newham,Pupil Premium Grant,10195.0,Inner London,0
Redbridge,Pupil Premium Grant,7870.0,Outer London,0
Richmond upon Thames,Pupil Premium Grant,3078.0,Outer London,0
Southwark,Pupil Premium Grant,0.0,Inner London,0
Sutton,Pupil Premium Grant,3066.0,Outer London,0
Tower Hamlets,Pupil Premium Grant,17120.0,Inner London,0
Waltham Forest,Pupil Premium Grant,7027.0,Outer London,0
Wandsworth,Pupil Premium Grant,6016.0,Inner London,0
Westminster,Pupil Premium Grant,5193.0,Inner London,0
Barking and Dagenham,Universal Infants Free School Meals,2070.0,Outer London,0
Barnet,Universal Infants Free School Meals,0.0,Outer London,0
Bexley,Universal Infants Free School Meals,765.0,Outer London,0
Brent,Universal Infants Free School Meals,3078.0,Outer London,0
Bromley,Universal Infants Free School Meals,234.0,Outer London,0
Camden,Universal Infants Free School Meals,0.0,Inner London,0
Croydon,Universal Infants Free School Meals,0.0,Outer London,0
Ealing,Universal Infants Free School Meals,3402.0,Outer London,0
Enfield,Universal Infants Free School Meals,2283.0,Outer London,0
Greenwich,Universal Infants Free School Meals,0.0,Outer London,0
Hackney,Universal Infants Free School Meals,1752.0,Inner London,0
Hammersmith and Fulham,Universal Infants Free School Meals,825.0,Inner London,0
Haringey,Universal Infants Free School Meals,0.0,Inner London,0
Harrow,Universal Infants Free School Meals,0.0,Outer London,0
Havering,Universal Infants Free School Meals,2866.0,Outer London,0
Hillingdon,Universal Infants Free School Meals,0.0,Outer London,0
Hounslow,Universal Infants Free School Meals,0.0,Outer London,0
Islington,Universal Infants Free School Meals,700.0,Inner London,0
Kensington and Chelsea,Universal Infants Free School Meals,797.0,Inner London,0
Kingston upon Thames,Universal Infants Free School Meals,0.0,Outer London,0
Lambeth,Universal Infants Free School Meals,0.0,Inner London,0
Lewisham,Universal Infants Free School Meals,4636.0,Inner London,0
Merton,Universal Infants Free School Meals,0.0,Outer London,0
Newham,Universal Infants Free School Meals,2067.0,Inner London,0
Redbridge,Universal Infants Free School Meals,3600.0,Outer London,0
Richmond upon Thames,Universal Infants Free School Meals,2276.0,Outer London,0
Southwark,Universal Infants Free School Meals,0.0,Inner London,0
Sutton,Universal Infants Free School Meals,1052.0,Outer London,0
Tower Hamlets,Universal Infants Free School Meals,2290.0,Inner London,0
Waltham Forest,Universal Infants Free School Meals,1105.0,Outer London,0
Wandsworth,Universal Infants Free School Meals,0.0,Inner London,0
Westminster,Universal Infants Free School Meals,1131.0,Inner London,0
Barking and Dagenham,Public Health Grant ,18759.0,Outer London,0
Barnet,Public Health Grant ,19228.0,Outer London,0
Bexley,Public Health Grant ,10890.0,Outer London,0
Brent,Public Health Grant ,24240.0,Outer London,0
Bromley,Public Health Grant ,16397.0,Outer London,0
Camden,Public Health Grant ,29701.0,Inner London,0
Croydon,Public Health Grant ,24134.0,Outer London,0
Ealing,Public Health Grant ,27417.0,Outer London,0
Enfield,Public Health Grant ,19029.0,Outer London,0
Greenwich,Public Health Grant ,25916.0,Outer London,0
Hackney,Public Health Grant ,37845.0,Inner London,0
Hammersmith and Fulham,Public Health Grant ,24333.0,Inner London,0
Haringey,Public Health Grant ,22727.0,Inner London,0
Harrow,Public Health Grant ,12288.0,Outer London,0
Havering,Public Health Grant ,12287.0,Outer London,0
Hillingdon,Public Health Grant ,19396.0,Outer London,0
Hounslow,Public Health Grant ,17329.0,Outer London,0
Islington,Public Health Grant ,29435.0,Inner London,0
Kensington and Chelsea,Public Health Grant ,23343.0,Inner London,0
Kingston upon Thames,Public Health Grant ,11400.0,Outer London,0
Lambeth,Public Health Grant ,36000.0,Inner London,0
Lewisham,Public Health Grant ,27557.0,Inner London,0
Merton,Public Health Grant ,11709.0,Outer London,0
Newham,Public Health Grant ,34229.0,Inner London,0
Redbridge,Public Health Grant ,15409.0,Outer London,0
Richmond upon Thames,Public Health Grant ,10330.0,Outer London,0
Southwark,Public Health Grant ,31126.0,Inner London,0
Sutton,Public Health Grant ,11019.0,Outer London,0
Tower Hamlets,Public Health Grant ,39224.0,Inner London,0
Waltham Forest,Public Health Grant ,17855.0,Outer London,0
Wandsworth,Public Health Grant ,31163.0,Inner London,0
Westminster,Public Health Grant ,35125.0,Inner London,0
Barking and Dagenham,Social Care Support Grant,21725.0,Outer London,0
Barnet,Social Care Support Grant,27281.0,Outer London,0
Bexley,Social Care Support Grant,17786.0,Outer London,0
Brent,Social Care Support Grant,29207.0,Outer London,0
Bromley,Social Care Support Grant,7661.0,Outer London,0
Camden,Social Care Support Grant,28588.0,Inner London,0
Croydon,Social Care Support Grant,25025.0,Outer London,0
Ealing,Social Care Support Grant,29567.0,Outer London,0
Enfield,Social Care Support Grant,27758.0,Outer London,0
Greenwich,Social Care Support Grant,31592.0,Outer London,0
Hackney,Social Care Support Grant,34857.0,Inner London,0
Hammersmith and Fulham,Social Care Support Grant,22505.0,Inner London,0
Haringey,Social Care Support Grant,25224.0,Inner London,0
Harrow,Social Care Support Grant,16982.0,Outer London,0
Havering,Social Care Support Grant,18772.0,Outer London,0
Hillingdon,Social Care Support Grant,20578.0,Outer London,0
Hounslow,Social Care Support Grant,20251.0,Outer London,0
Islington,Social Care Support Grant,30065.0,Inner London,0
Kensington and Chelsea,Social Care Support Grant,18339.0,Inner London,0
Kingston upon Thames,Social Care Support Grant,9937.0,Outer London,0
Lambeth,Social Care Support Grant,33912.0,Inner London,0
Lewisham,Social Care Support Grant,30790.0,Inner London,0
Merton,Social Care Support Grant,13747.0,Outer London,0
Newham,Social Care Support Grant,36701.0,Inner London,0
Redbridge,Social Care Support Grant,22814.0,Outer London,0
Richmond upon Thames,Social Care Support Grant,11655.0,Outer London,0
