borough,Early years,Primary schools,Secondary schools,Special schools and alternative provision,Post-16 provision,Other education and community budget,TOTAL EDUCATION SERVICES,"Transport planning, policy and strategy ",Structural maintenance,"Environmental, safety and routine maintenance",Winter service,Street lighting (including energy costs),Traffic management and road safety: congestion charging,Traffic management and road safety: traffic management – bus lane enforcement,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),Traffic management and road safety: other,Parking services,Public transport: statutory concessionary fares,Public transport: discretionary concessionary fares,Public transport: support to operators,Public transport: co-ordination,"Airports, harbours and toll facilities",TOTAL HIGHWAYS AND TRANSPORT SERVICES,Children's social care: Sure start children's centres/flying start and early years,Children's social care: Children looked after,Children's social care: Other children and family services,Children's social care: Family support services,Children's social care: Youth justice,Children's social care: Safeguarding children and young people’s services,Children's social care: Asylum seekers,Children's social care: Services for young people,TOTAL CHILDREN'S SOCIAL CARE,Physical support - adults (18–64),Physical support - older people (65+),Sensory support - adults (18–64),Sensory support - older people (65+),Support with memory and cognition - adults (18–64),Support with memory and cognition - older people (65+),Learning disability support - adults (18–64),Learning disability support - older people (65+),Mental health support - adults (18–64),Mental health support - older people (65+),Social support: Substance misuse support,Social support: Asylum seeker support,Social support: Support for carer,Social support: Social Isolation,Assistive equipment and technology,Social care activities,Information and early intervention,Commissioning and service delivery,Disbursement payments to care providers,TOTAL ADULT SOCIAL CARE,Sexual health services - STI testing and treatment (prescribed functions),Sexual health services - Contraception (prescribed functions),"Sexual health services - Promotion, prevention and advice (non-prescribed functions)",NHS health check programme  (prescribed functions),Health protection - Local authority role in health protection  (prescribed functions),National child measurement programme (prescribed functions),Public health advice to NHS commissioners (prescribed functions),Obesity - adults,Obesity - children,Physical activity - adults,Physical activity - children,Substance misuse - Treatment for drug misuse in adults,Substance misuse - Treatment for alcohol misuse in adults,Substance misuse - Preventing and reducing harm from drug misuse in adults,Substance misuse - Preventing and reducing harm from alcohol misuse in adults,Substance misuse - Specialist drug and alcohol misuse services for children and young people,Smoking and tobacco - Stop smoking services and interventions,Smoking and tobacco - Wider tobacco control,Children 5–19 public health programmes,Miscellaneous public health services - Mandated 0-5 children’s services (prescribed functions),Miscellaneous public health services - All Other 0-5 children’s services (non-prescribed functions),Health at work,Public mental health,Miscellaneous public health services - other,"Test, track and trace and outbreak planning",Other public health spend relating to COVID-19,TOTAL PUBLIC HEALTH,"Housing strategy, advice, advances, enabling, renewals and licensing",Homelessness,Housing benefits: rent allowances and rent rebates - discretionary payments,Housing benefits administration,Other council property - travellers' sites and non-HRA council property,Housing welfare: Supporting People,Other welfare services,TOTAL HOUSING SERVICES (GFRA only),Archives,Culture and heritage (excluding Archives),Recreation and sport,Open spaces,Tourism,Library service,TOTAL CULTURAL AND RELATED SERVICES,"Cemetery, cremation and mortuary services",Regulatory services: Trading standards,Regulatory services: Water safety,Regulatory services: Food safety,Regulatory services: Environmental protection; noise and nuisance,Regulatory services: Housing standards,Regulatory services: Health and safety,Regulatory services: Port health (excluding levies),Regulatory services: Port health levies,Regulatory services: Pest control,Regulatory services: Public conveniences,Regulatory services: Animal and public health; infectious disease,Regulatory services: Licensing - Alcohol and entertainment licensing; taxi licensing,Community safety (Crime reduction),Community safety (Safety services),Community safety (CCTV),Defences against flooding,Land drainage and related work (excluding levy / Special levies),Land drainage and related work - Levy / Special levies,Coast protection,Agriculture and fisheries services,Street cleansing (not chargeable to Highways),Waste collection,Waste disposal,Trade waste,Recycling,Waste minimisation,Climate change costs,TOTAL ENVIRONMENTAL AND REGULATORY SERVICES,Building control,Development control,Planning policy,Environmental initiatives,Economic development,Community development,Economic research,Business Support (b),TOTAL PLANNING AND DEVELOPMENT SERVICES,TOTAL POLICE SERVICES,TOTAL FIRE AND RESCUE SERVICES,Coroners' court services,Other court services    ,Corporate and democratic core,Local tax collection: council tax discounts - locally funded,Local tax collection: council tax support administration,Local tax collection: other,Emergency planning,Central services to the public: other,Non-distributed costs - retirement benefits ,Non-distributed costs - costs of unused shares of IT facilities and other assets,Non-distributed costs - revenue expenditure on surplus assets,TOTAL CENTRAL SERVICES,TOTAL OTHER SERVICES,TOTAL SERVICE EXPENDITURE,Housing benefits: rent allowances - mandatory payments,Housing benefits: non-HRA rent rebates - mandatory payments,Housing benefits: rent rebates to HRA tenants - mandatory payments,Housing benefits: subsidy limitation transfers from HRA,Contribution to the HRA re items shared by the whole community,Parish Precepts,Integrated Transport Authority levy *,Waste Disposal Authority levy *,London Pensions Fund Authority levy,Other levies ,External Trading Accounts net surplus(-)/ deficit(+),Internal Trading Accounts net surplus(-)/ deficit(+),Capital items accounted for in External Trading Accounts,Capital items accounted for in Internal Trading Accounts,Appropriations to(+) / from(-) Accumulated Absences Account,Adjustments to net current expenditure,NET CURRENT EXPENDITURE,Levy: Environment Agency flood defence,Capital expenditure charged to the GF Revenue Account (CERA) (exclude Public Health),Capital expenditure charged to the GF Revenue Account (CERA) (Public Health),Capital receipts used to finance revenue expenditure under receipts flexibility,Netting off expenditure capitalised by a direction under Section 16(2)b),Provision for bad debts (+/-),Provision for repayment of principal,Leasing payments,Interest: external payments,Interest: HRA item 8 payments and receipts,Interest and investment income (-): external receipts and dividends,Income from Treasury Management activities,"Income from non-treasury management activities, of which:", • Investment properties, • Dividends from subsidiaries, • Dividends from equity other than subsidiaries, • Income from joint ventures, • Interest from capital loans, • Interest from revenue loans, • Income from bonds, • Other ,Private Finance Initiative (PFI) schemes - difference from service charge,Appropriations to(+)/ from(-) financial instruments adjustment account,Appropriations to(+)/ from(-) unequal pay back pay account,Specific and special grants outside AEF [SG line 799 as income],Business Rates Supplement  (GLA only),Community Infrastructure levy,Carbon Reduction Commitment (CRC) transactions (expenditure) (+),Carbon Reduction Commitment (CRC) transactions (income) (-),Appropriations to(+)/from(-) dedicated schools grant adjustment account,REVENUE EXPENDITURE,Specific and special grants inside AEF [SG line 699 as income],Inter-authority transfers in respect of reorganisation,Appropriations to(+)/ from(-) schools' reserves,Appropriations to(+)/ from(-) dedicated schools grant reserves,Appropriations to(+)/ from(-) public health financial reserves,Appropriations to(+)/ from(-) other earmarked financial reserves,Appropriations to(+)/ from(-) unallocated financial reserves,Revenue Support Grant,Police grant,Retained income from Rate Retention Scheme **,Collection fund surpluses and deficits for Council Tax,Other Items,COUNCIL TAX REQUIREMENT (total of lines 900 to 985)
Barking and Dagenham,33429,141681,83611,55688,11920,7289,333618,2042,685,0,0,1463,0,0,0,-227,-13014,5619,0,0,0,0,-3432,1436,28099,0,18006,1907,28582,0,490,78520,5935,15212,0,0,0,0,26049,0,13774,0,0,0,1672,0,718,4844,0,5865,0,74069,1456,756,113,100,30,50,38,109,222,630,404,874,874,219,219,465,434,0,1467,6643,0,0,0,3886,0,0,18989,414,2926,0,768,1316,0,0,5424,0,1344,-1151,3170,0,843,4206,-324,204,0,284,625,0,0,0,0,10,0,0,81,431,2253,486,41,0,0,0,0,4742,5158,0,168,0,0,0,14159,0,1069,1741,0,1098,0,0,0,3908,0,0,0,0,2485,0,0,0,298,10495,0,0,0,13278,17554,560293,31744,10373,27619,147,0,0,0,14238,175,142,0,-725,0,0,0,0,644006,131,0,0,0,0,2004,10792,0,10139,0,-12903,-6503,-6400,-6400,0,0,0,0,0,0,0,0,0,0,-83508,0,0,0,0,0,570661,-377141,0,0,0,0,-8809,0,-22258,0,-78316,-41,0,84096
Barnet,34564,147404,46076,29227,4596,27465,289332,-3938,3636,5065,925,9560,0,0,0,-116,-15493,12763,0,0,0,0,12402,6583,41256,3328,5051,1340,28116,901,505,87080,15176,42937,828,875,875,10324,56431,6801,14879,7823,71,70,0,0,-454,18583,595,9220,0,185034,3252,308,425,322,159,168,376,48,154,36,53,779,519,779,519,220,198,91,1106,6711,540,15,364,2086,0,0,19228,2262,11023,0,0,0,0,0,13285,73,244,3143,55,0,4958,8473,-1996,160,0,879,409,1114,0,0,0,571,69,0,85,2139,-7,1370,1067,0,0,0,0,8367,11061,0,790,129,0,0,26207,-1058,6,3103,1090,0,0,0,0,3141,0,0,639,0,5914,0,0,-500,337,-547,2940,0,0,8783,0,652965,123258,25140,18714,0,0,0,0,15399,457,1509,0,0,0,0,0,0,837442,371,0,0,0,0,0,13905,0,21781,-12400,-11121,0,-11121,0,0,-8971,0,0,-2150,0,0,0,0,0,-171136,0,0,0,0,0,678842,-343328,0,0,-1500,0,-18611,0,-8657,0,-77392,0,0,229354
Bexley,32356,42018,4848,26113,5061,18258,128654,2355,-143,916,428,1707,0,0,31,-60,-5666,5598,8,0,0,0,5174,444,35165,1630,3153,916,14548,185,647,56688,5907,20205,44,128,691,11127,25525,3135,4736,206,0,0,21,73,628,5996,177,2220,0,80819,1655,145,134,478,0,0,0,190,114,0,0,1778,583,56,55,93,82,0,498,3983,41,0,179,952,0,0,11016,4485,7796,0,2866,-28,4073,0,19192,0,66,1615,4357,0,2577,8615,355,666,0,0,487,477,0,0,0,0,134,0,-43,0,1174,630,0,0,0,0,0,4095,9956,8296,-937,3664,869,0,29823,113,-119,446,35,890,0,0,0,1365,0,0,513,0,5254,0,0,1383,183,299,0,0,0,7632,0,348978,56910,0,0,0,0,0,0,0,275,538,0,0,0,0,0,0,406701,122,0,0,0,0,0,409,0,7498,0,-3912,-3455,-457,-457,0,0,0,0,0,0,0,0,0,0,-60501,0,0,0,0,-1584,348733,-161618,0,0,0,-125,9205,2500,-4304,0,-52979,0,0,141412
Brent,37384,123758,21172,55812,5131,24654,267911,501,1269,5697,446,1570,0,-397,900,882,-13178,13513,0,-1,166,0,11368,5654,39778,1109,19613,2216,23741,4825,1313,98249,14031,44960,368,422,193,3040,38159,1529,8347,1746,0,1347,196,238,1842,-29,1297,9900,0,127586,4019,818,606,59,1170,127,533,170,174,189,59,4009,981,252,252,628,118,59,1710,3839,3841,65,652,1855,0,0,26185,2681,40836,1620,0,-438,3171,0,47870,0,1944,3176,3756,0,4681,13557,1236,947,0,740,853,0,168,0,0,263,0,62,236,1797,881,750,0,0,0,0,0,6161,5135,9835,669,5129,446,0,35308,-355,1859,1212,0,1531,4212,0,-180,8279,0,0,0,0,5591,0,1031,3597,281,10968,0,0,0,21468,0,657781,189621,0,19765,0,0,0,0,2309,320,248,0,0,0,0,0,0,870044,0,0,0,0,0,0,8650,0,11647,9200,-4170,0,-4170,0,0,0,0,-1808,0,0,-2362,0,0,0,-227094,0,0,0,0,0,668277,-358042,0,0,0,0,-3119,0,-30889,0,-114164,0,0,162063
Bromley,39637,20115,14038,44869,8005,21882,148546,42,7153,2446,330,3968,0,-809,0,234,-8061,9465,0,12,0,0,14780,1034,36983,52,3478,2038,29593,1933,734,75845,8591,13171,131,157,1048,7313,48297,4728,5595,2097,0,0,4,0,212,15586,373,10054,0,117357,1781,955,496,578,600,138,269,126,45,145,178,1127,561,136,140,264,269,28,717,3469,2634,10,586,2327,0,0,17579,2002,17341,518,1777,657,1134,0,23429,0,818,-427,8444,0,6189,15024,562,648,0,318,300,0,0,0,0,0,59,0,158,0,819,593,0,0,0,0,0,7058,9753,10650,1536,1555,0,0,34009,266,-148,595,0,650,0,0,15,1378,0,0,609,0,6093,0,2094,1339,236,1423,1409,0,305,13508,14282,475737,58079,11222,0,0,0,0,0,0,448,825,0,0,0,0,0,0,546311,270,2030,0,0,0,335,0,0,0,0,-15415,0,-15415,-3382,0,0,0,0,-12028,0,-5,0,0,0,-75753,0,0,0,0,-5631,452147,-182121,0,0,0,-611,-3294,0,0,0,-50205,-15900,0,200016
Camden,19718,76009,76275,54431,0,14641,241074,-94,2889,0,0,179,0,0,82,-3034,-31444,11076,0,3105,0,0,-17241,12275,24883,1966,11525,2802,21061,88,6397,80997,12203,44347,0,965,0,1499,27452,10533,8107,309,482,0,370,0,4850,26096,2798,-3561,0,136450,4867,809,412,553,108,92,117,254,478,936,129,5982,384,0,0,734,837,154,5653,281,923,1102,1878,3361,0,0,30044,1676,23113,0,2839,0,11720,0,39348,14,108,714,3903,0,7259,11998,310,109,0,768,1375,185,260,0,0,-2,18,0,192,821,1798,0,0,0,0,0,0,11007,6728,7394,241,3034,0,-70,34168,150,410,1673,0,3900,0,0,0,6133,0,0,686,0,7638,0,0,1659,536,8933,13045,0,7147,39644,38949,641564,64260,0,60288,0,0,0,0,0,0,0,-7462,1158,0,0,0,273,760081,0,986,0,0,0,1643,0,0,3161,-18940,-19045,-19045,0,0,0,0,0,0,0,0,0,0,0,0,-126298,0,0,0,0,0,601588,-319243,0,0,0,0,-11436,1500,-28226,0,-122175,2138,16986,141132
City of London,276,2314,0,0,0,2531,5121,789,2264,2107,0,1287,0,0,177,150,-10565,546,0,0,0,0,-3245,1274,1183,0,51,0,1387,1632,309,5836,96,1034,8,0,0,285,710,0,1039,346,34,0,0,0,144,2704,105,685,0,7190,322,36,36,41,38,35,35,46,35,60,35,354,36,36,36,132,35,-18,103,195,35,35,36,39,0,0,1773,230,3722,0,0,1245,705,0,5902,4363,32650,279,2230,1611,5502,46635,104,561,0,578,915,0,125,1029,0,0,583,1324,354,432,0,0,0,0,0,0,0,6790,1859,1629,-546,1524,0,0,17261,1381,599,1651,1295,4253,0,0,0,9179,169426,0,446,2735,5106,0,0,1063,550,585,0,0,0,10485,10114,285677,1101,368,1988,0,0,851,0,0,117,19,68,0,-1776,0,0,0,288413,18,32475,0,0,0,0,0,0,0,0,-63194,-28879,-34315,-34315,0,0,0,0,0,0,0,0,0,0,-3786,0,0,0,0,0,253926,-62958,0,0,0,0,10913,0,-9124,-85406,-54279,49,-44106,9015
Croydon,49089,57150,12180,78998,5306,38205,240928,8,0,3006,484,6297,0,0,176,233,-16844,13673,0,0,0,0,7033,2592,36178,6423,12632,3366,44797,13878,3533,123399,14736,38695,224,184,662,6729,47301,5799,5194,1956,0,964,1207,12,2672,24925,861,12118,0,164239,4093,356,870,200,1231,0,1327,556,582,0,123,1406,1406,204,204,160,396,0,1544,5240,614,0,2159,2516,0,0,25187,3032,28426,1129,2860,466,3273,0,39186,1,395,898,5147,42,3671,10154,-853,885,0,1335,1773,870,0,0,0,0,113,105,195,882,109,718,0,0,0,0,0,6212,9823,11191,0,4539,0,0,37897,1171,1942,805,76,4639,0,0,0,8633,0,0,811,0,5860,0,2377,145,528,1603,0,0,279,11603,5733,673992,85870,21281,24967,0,0,0,0,0,481,689,0,0,0,0,0,0,807280,332,0,0,0,-38000,3436,27440,0,47842,-12109,-2660,-165,-2495,0,0,-1485,0,-1010,0,0,0,0,0,0,-134227,0,0,41,0,0,699375,-323399,0,0,0,0,1354,0,-17818,0,-97953,-1798,0,259761
Ealing,40062,180582,90115,75402,11217,12961,410339,1294,1847,920,207,7005,0,-1350,-936,0,-18985,13436,0,0,0,0,3438,4133,49026,4883,5958,1733,13894,1960,3485,85072,12107,35767,0,0,0,0,37900,0,7474,0,185,0,0,0,474,22133,64,2171,0,118275,4159,0,132,452,0,0,0,0,156,0,0,3752,0,0,0,0,0,0,694,5439,0,0,0,13360,0,0,28144,4231,27513,1680,2943,18,3098,0,39483,0,386,1454,1975,0,3960,7775,-1022,429,0,1648,436,1668,0,0,0,0,16,0,-1078,1160,19,0,0,0,0,0,0,165,22664,1568,-1435,583,0,0,26821,738,354,-705,0,1858,2456,0,0,4701,0,0,455,0,7515,0,0,1271,268,1468,0,0,0,10977,5495,740520,98697,29398,24417,0,0,0,0,15002,423,612,0,0,0,0,0,0,909069,0,5585,0,0,0,3485,20059,0,40820,-6159,-21868,-21868,0,0,0,0,0,0,0,0,0,0,0,0,-166984,0,0,0,0,-1113,782894,-466030,0,0,-1915,472,-3541,0,-21798,0,-106677,-1581,0,181824
Enfield,41504,110865,68061,55908,17233,28839,322410,544,1203,1758,271,5237,0,0,0,-3330,-3906,10213,0,0,0,0,11990,0,33868,0,11567,3882,27095,938,1058,78408,10918,35526,198,339,100,1354,36475,3180,5691,1015,53,1280,248,870,1187,20046,175,9502,0,128157,2511,1058,137,110,137,26,45,1289,573,1205,552,2042,394,392,126,324,15,45,1189,4592,465,11,1211,1216,0,0,19665,15239,15684,0,9611,0,2709,0,43243,79,942,966,2574,0,3357,7918,-1687,221,0,609,1185,0,0,0,0,-58,0,823,-77,0,1460,701,225,0,0,0,0,8157,8021,0,-226,-2203,0,0,17151,238,1967,1729,0,783,0,0,-6823,-2106,0,0,492,-2101,4380,0,2376,1225,326,388,1608,0,269,8963,15217,651016,129890,41960,21616,0,0,0,0,12157,324,512,114,1599,0,0,0,0,859188,245,0,0,0,0,2112,17718,0,26666,-15231,-3004,-3004,0,0,0,0,0,0,0,0,0,0,0,0,-208861,0,-22,0,0,0,678811,-392336,0,0,0,-636,-42,0,-22133,0,-98533,-1013,0,164118
