borough,Estimated schools reserves level at 1 April,Dedicated Schools Grant Adjustment Account level at 1 April,Estimated dedicated schools grant financial reserves level at 1 April,Estimated public health financial reserves level at 1 April,Estimated other earmarked financial reserves level at 1 April,Estimated unallocated financial reserves level at 1 April,Prior Year Adjustments  ,Estimated schools reserves level at 31 March,Dedicated Schools Grant Adjustment Account level at 31 March,Estimated dedicated schools grant reserves level at 31 March,Estimated public health financial reserves level at 31 March,Estimated other earmarked financial reserves level at 31 March,Estimated unallocated financial reserves level at 31 March,Other Earmarked Financial Reserves used for smoothing PFI and long-term liability payments at 1 April,Other Earmarked Financial Reserves used for smoothing PFI and long-term liability payments at 31 March,Other Earmarked Financial Reserves held on behalf of third parties for specific projects at 1 April,Other Earmarked Financial Reserves held on behalf of third parties for specific projects at 31 March,Other earmarked reserves: Contractual commitments_year_start_1_April,Other earmarked reserves: Contractual commitments_year_end_31_March,Other earmarked reserves: Planned future revenue and capital spending_year_start_1_April,Other earmarked reserves: Planned future revenue and capital spending_year_end_31_March,Other earmarked reserves: Specific risks_year_start_1_April,Other earmarked reserves: Specific risks_year_end_31_March,Other earmarked reserves: Budget stabilisation_year_start_1_April,Other earmarked reserves: Budget stabilisation_year_end_31_March,Other earmarked reserves: Other_year_start_1_April,Other earmarked reserves: Other_year_end_31_March,Depreciation,Loss on impairment of assets,Revaluations taken to surplus or deficit on the provision of services,Credit for capital grants,Revenue Expenditure funded from Capital by Statute (RECS),Total capital items (total of lines 1031 to 1036),Total council tax revenue foregone - pensioners,Total council tax revenue foregone - working age people,Total amount of council tax revenue foregone,The total amount paid to local parishes [by the billing authority] with respect to their council tax support allocation,Payment to operators in respect of depreciation which is included in line 275,Dwelling rents (gross),Non-dwelling rents (gross),Tenants’ leaseholders’ and other charges for services and facilities,Contributions towards expenditure (other than government grants and assistance),Government grants and assistance (including downward adjustments),Interest on investments credited direct to the HRA,Transfers from GF,Transfers from MRR,Appropriation to/from Accumulated Absences Account,TOTAL HOUSING REVENUE ACCOUNT (HRA) INCOME,Repairs and maintenance,Supervision and management (including CDC),Special services,"Rents, rates, taxes and other charges",Direct charges to the HRA - Interest payable and similar charges including amortisation of premiums and discounts,Charges to the HRA for debt repayment or non-interest charges in respect of credit arrangements (including on balance sheet PFI schemes),Capital expenditure charged to the Housing Revenue Account (CERA),Debt management costs,Transfers to GF,Transfers to MRR,Provision for bad debts (+/-),TOTAL HOUSING REVENUE ACCOUNT (HRA) EXPENDITURE,SURPLUS OR DEFICIT FOR THE YEAR ON HRA SERVICES,Housing Revenue Account (HRA) Reserves at 1 April,Housing Revenue Account (HRA) Reserves at 31 March,All Investment Properties Attributable Interest Costs,All Investment Properties Direct costs,All Investment Properties Attributable Minimum Revenue Provision,All Investment Properties Income,All Investment Properties Net Income,All Investment Properties Total Cost,Investment Properties Within LA Attributable Interest Costs,Investment Properties Within LA Direct costs,Investment Properties Within LA Attributable Minimum Revenue Provision,Investment Properties Within LA Income,Investment Properties Within LA Net Income,Investment Properties Within LA Total Cost,Investment Properties Outside LA Boundary but within LEP area Direct costs,Investment Properties Outside LA Boundary but within LEP area Attributable Minimum Revenue Provision,Investment Properties Outside LA Boundary but within LEP area Income,Investment Properties Outside LA Boundary but within LEP area Net Income,Investment Properties Outside LA Boundary but within LEP area Total Cost,Investment Properties Outside LA Boundary but within LEP area Attributable Interest Costs,Investment Properties Outside LEP area Direct costs,Investment Properties Outside LEP area Attributable Interest Costs,Investment Properties Outside LEP area Attributable Minimum Revenue Provision,Investment Properties Outside LEP area Income,Investment Properties Outside LEP area Net Income,Investment Properties Outside LEP area Total Cost
Barking and Dagenham,12962,0,10073,1947,109428,17030,0,12962,0,10073,1947,100619,17030,14283,14283,0,0,23988,23988,51652,51652,6107,6107,13398,4589,0,0,59574,0,-10432,-29517,2768,22393,5417,10988,16405,0,0,96750,801,22175,0,0,276,0,0,0,120002,25365,52039,0,3775,10826,0,2075,0,0,22613,3309,120002,0,32105,32105,0,7612,0,-34030,-26418,7612,0,3569,0,-29229,-25660,3569,0,0,0,0,0,0,4043,0,0,-4801,-758,4043
Barnet,14043,0,8618,773,89596,0,0,14043,0,7118,773,70985,0,0,0,0,0,0,0,35484,27173,7668,7668,15617,15617,30827,20527,47435,0,0,0,73428,120863,10497,15461,25958,0,0,61718,957,11048,0,0,127,0,0,0,73850,15225,23461,0,0,0,0,3728,16578,0,13635,1328,73955,-105,4314,4209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bexley,2226,-5431,0,758,9561,21390,0,2226,-7015,0,633,18766,23890,0,0,0,0,0,0,6151,15356,3410,3410,0,0,0,0,43919,0,0,0,0,43919,5732,8939,14671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-457,-457,0,0,0,0,0,0,0,0,0,-153,-153,0,0,0,0,0,-304,-304,0
Brent,15027,-16000,1352,10582,145060,17876,0,15027,-16000,1352,10582,141941,17876,0,0,0,0,10607,10607,122003,118884,2966,2966,2667,2667,6817,6817,32000,1000,0,-72000,5000,-34000,12600,20000,32600,0,0,53055,224,7666,300,0,4,0,0,0,61249,15069,11942,6872,1481,9155,7995,0,10,0,7505,1220,61249,0,2100,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bromley,3070,-15963,0,2568,122197,48044,0,3070,-21594,0,1957,118903,48044,0,0,0,0,0,0,21549,21549,15929,15929,0,0,84719,81425,8803,0,0,-12548,14548,10803,6677,7270,13947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5067,-5067,0,0,0,0,-2364,-2364,0,0,0,-2703,-2703,0,0,0,0,0,0,0,0
Camden,0,0,19256,2834,123572,15858,0,0,0,19256,2834,112136,17358,4872,4909,0,0,0,0,59718,63383,58982,43844,0,0,0,0,0,0,0,0,0,0,10608,20671,31279,0,0,160460,13509,67246,0,0,0,1000,0,0,242215,72755,44782,51559,5170,23557,37825,3054,150,0,0,3363,242215,0,29594,29594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City of London,204,0,0,368,206115,20000,0,204,0,0,368,217028,20000,0,0,0,0,0,0,170761,181674,0,0,30000,30000,5354,5354,28789,0,0,0,0,28789,108,82,190,0,0,13385,2221,2095,0,0,0,0,0,0,17701,5932,5639,3480,275,0,0,0,0,0,2231,0,17557,144,301,445,0,17716,0,-52031,-34315,17716,0,14686,0,-36378,-21692,14686,3030,0,-15653,-12623,3030,0,0,0,0,0,0,0
Croydon,7046,-12185,0,11672,129605,18632,0,7046,-12185,0,11672,130959,18632,7565,7565,720,720,0,0,39181,39681,63837,64691,7265,7265,11037,11037,26151,5090,0,0,49549,80790,13218,22407,35625,0,0,93369,1008,8158,468,0,0,0,0,0,103003,20896,31898,5344,5107,12109,14537,0,166,0,12196,750,103003,0,31420,31420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ealing,17158,0,1915,2386,90554,17732,0,17158,-1113,0,2858,87013,17732,21756,19049,0,0,0,0,3906,3601,14368,14637,0,0,50524,49726,0,0,0,0,0,0,11814,18972,30786,0,0,77953,1548,7616,0,0,230,0,0,0,87347,18939,22429,11961,578,12668,0,19,0,6918,14517,645,88674,-1327,16866,15539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enfield,0,-15236,0,1645,47682,13949,0,0,-15236,0,1009,47640,13949,18950,18950,0,0,0,0,19540,19498,1310,1310,500,500,7382,7382,19748,1531,90379,-29704,2800,84754,11689,29132,40821,0,0,71834,3268,5748,0,0,297,0,0,0,81147,17623,15815,10892,397,15528,5516,0,0,0,0,724,66495,14652,9834,24486,0,1801,0,-8103,-6302,1801,0,1801,0,-8103,-6302,1801,0,0,0,0,0,0,0,0,0,0,0,0
Greenwich,9591,0,3982,0,195696,18896,0,9591,0,3982,0,188323,18896,9300,9300,0,0,42222,42222,57276,57276,27761,20388,21647,21647,37490,37490,26283,0,0,0,0,26283,7784,17519,25303,0,0,126637,3256,20695,31174,238,0,0,0,0,182000,63542,37148,28240,1799,16326,807,32633,158,0,0,1347,182000,0,15462,15462,0,0,0,-335,-335,0,0,0,0,-335,-335,0,0,0,0,0,0,0,0,0,0,0,0,0
Hackney,7900,-20200,0,0,101498,17000,0,3800,-22300,0,0,74339,17000,4071,3571,14932,13771,0,0,52805,36382,8824,6150,20866,14465,0,0,74824,0,128318,-17968,2013,187187,10853,19310,30163,0,0,140305,6438,29660,1619,0,0,0,0,0,178022,35960,59265,24905,924,0,52181,1937,953,0,0,-835,175290,2732,15000,17732,0,786,0,-9039,-8253,786,0,786,0,-9039,-8253,786,0,0,0,0,0,0,0,0,0,0,0,0
Hammersmith and Fulham,3009,0,2279,42,72000,21300,0,3009,0,2279,42,72000,21300,0,0,0,0,0,0,0,0,72000,72000,0,0,0,0,20629,1,0,-1,1,20630,4947,8297,13244,0,0,82117,3628,20220,1763,0,1609,0,0,0,109337,20653,41496,10418,3003,15446,17376,0,110,0,0,835,109337,0,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haringey,7536,0,0,0,61080,15200,0,7536,0,0,481,66090,15200,6125,6125,0,0,0,0,27568,27568,14839,14839,12548,17558,0,0,26445,0,0,0,0,26445,11772,23616,35388,0,0,109220,1510,25436,0,0,228,0,0,0,136394,27792,34776,11546,2581,25280,0,0,0,0,22597,3219,127791,8603,20000,28603,0,3798,0,-10176,-6378,3798,0,3798,0,-10176,-6378,3798,0,0,0,0,0,0,0,0,0,0,0,0
Harrow,11092,-4007,1384,2693,47010,10008,0,11092,-4007,1384,2419,47010,10008,3241,3241,0,0,0,0,18596,18596,500,500,24673,24673,0,0,23840,0,0,0,2197,26037,8089,10806,18895,0,0,35325,608,5274,70,0,91,174,0,0,41542,7488,10794,5764,144,7534,0,7788,36,0,0,158,39706,1836,3656,5492,1445,203,964,-2876,-264,2612,742,92,495,-1170,159,1329,111,469,-1706,-423,1283,703,0,0,0,0,0,0
Havering,5500,-8000,0,2800,37980,8155,0,5500,-8000,0,2300,43648,13155,0,0,0,0,7393,7393,5156,5156,15263,20931,0,0,10168,10168,29887,0,35760,-31528,5488,39607,6792,8978,15770,0,0,58283,362,11434,780,0,36,0,0,0,70895,14527,18415,8078,890,15854,10462,0,48,0,0,665,68939,1956,24820,26776,0,508,0,-5053,-4545,508,0,0,0,0,0,0,508,0,-5053,-4545,508,0,0,0,0,0,0,0
Hillingdon,14519,-28987,0,662,6658,26848,0,14519,-28987,0,662,7987,26848,678,678,0,0,0,0,1999,1999,3981,5310,0,0,0,0,0,0,0,0,0,0,6104,11597,17701,0,0,80614,0,0,0,0,0,0,0,0,80614,12713,20541,5350,0,7978,8155,15565,0,0,9611,802,80715,-101,15101,15000,0,68,0,-303,-235,68,0,68,0,-303,-235,68,0,0,0,0,0,0,0,0,0,0,0,0
