borough,council_tax_202425_ex_gla
Barking and Dagenham,"1,531"
Barnet,"1,472"
Bexley,"1,684"
Brent,"1,565"
Bromley,"1,478"
Camden,"1,539"
City of London,"1,009"
Croydon,"1,896"
Ealing,"1,477"
Enfield,"1,594"
Greenwich,"1,449"
Hackney,"1,406"
Hammersmith and Fulham,915
Haringey,"1,636"
Harrow,"1,815"
Havering,"1,737"
Hillingdon,"1,393"
Hounslow,"1,520"
Islington,"1,449"
Kensington and Chelsea,"1,058"
Kingston upon Thames,"1,904"
Lambeth,"1,394"
Lewisham,"1,567"
Merton,"1,528"
Newham,"1,253"
Redbridge,"1,618"
Richmond upon Thames,"1,792"
Southwark,"1,322"
Sutton,"1,695"
Tower Hamlets,"1,204"
Waltham Forest,"1,702"
Wandsworth,497
Westminster,502
