borough,category,population_2021
Barking and Dagenham,Outer London,218900
Barnet,Outer London,389300
Bexley,Outer London,246500
Brent,Outer London,339800
Bromley,Outer London,330000
Camden,Inner London,210100
City of London,Inner London,8600
Croydon,Outer London,390800
Ealing,Outer London,367100
Enfield,Outer London,330000
Greenwich,Outer London,289100
Hackney,Inner London,259200
Hammersmith and Fulham,Inner London,183200
Haringey,Inner London,264200
Harrow,Outer London,261300
Havering,Outer London,262000
Hillingdon,Outer London,305900
Hounslow,Outer London,288200
Islington,Inner London,216600
Kensington and Chelsea,Inner London,143400
Kingston upon Thames,Outer London,168000
Lambeth,Inner London,317600
Lewisham,Inner London,300600
Merton,Outer London,215200
Newham,Inner London,351100
Redbridge,Outer London,310300
Richmond upon Thames,Outer London,195200
Southwark,Inner London,307700
Sutton,Outer London,209600
Tower Hamlets,Inner London,310300
Waltham Forest,Outer London,278400
Wandsworth,Inner London,327500
Westminster,Inner London,204300
