borough,Dedicated Schools Grant (DSG),Pupil Premium Grant,Universal Infants Free School Meals,Public Health Grant ,Social Care Support Grant,Rural Services Delivery Grant,Improved Better Care Fund,ASC Market Sustainability and Improvement Fund,Services Grant,Adult Social Care Discharge Fund,Funding Guarantee,Flexible Homelessness Support Grant,Housing Benefit Subsidy Admin Grant,New Homes Bonus,The Private Finance Initiative (PFI),Police Officer Uplift Grant,Other grants within AEF ,Total Revenue Grants Within AEF,Adult and Community Learning from the ESFA,Sixth Form Funding from the ESFA,Mandatory Rent Allowances: subsidy ,Mandatory Rent Rebates outside HRA: subsidy ,Rent Rebates Granted to HRA Tenants: subsidy,Other grants outside AEF ,Total Revenue Grants Outside AEF,Total Specific And Special Revenue Grants
Barking and Dagenham,285258,15712,2070,18759,21725,0,10707,3995,403,2502,0,4449,768,2140,7634,0,1019,377141,1852,11920,31744,10373,27619,0,83508,460649
Barnet,265807,0,0,19228,27281,0,9622,6333,410,2248,0,5852,1249,2496,2235,0,567,343328,0,0,123976,16700,19060,11400,171136,514464
Bexley,105311,1375,765,10890,17786,0,6616,4062,256,1546,0,2803,688,942,2984,0,5594,161618,3172,0,57329,0,0,0,60501,222119
Brent,236472,6522,3078,24240,29207,0,13345,5876,617,3118,1285,9413,1334,2906,5543,0,15086,358042,0,3940,181404,17972,19458,4320,227094,585136
Bromley,116453,1300,234,16397,7661,0,7731,5208,269,1806,0,3778,736,409,0,0,20139,182121,30,2989,59047,11222,0,2465,75753,257874
Camden,212033,424,0,29701,28588,0,12874,5625,639,3008,0,2776,1304,105,0,0,22166,319243,1400,0,64444,0,60454,0,126298,445541
City of London,3275,62,38,1758,839,0,324,213,116,76,375,137,0,0,0,0,55745,62958,292,0,1139,1994,361,0,3786,66744
Croydon,214047,1166,0,24134,25025,0,9978,6131,517,2332,0,7450,1567,2471,2869,0,25712,323399,4630,0,84148,20854,24466,129,134227,457626
Ealing,336017,13474,3402,27417,29567,0,12680,6202,538,2963,0,6153,1075,5310,15806,0,5426,466030,0,11886,98697,29398,24417,2586,166984,633014
Enfield,259510,10245,2283,19029,27758,0,11726,5682,518,2740,0,11308,1402,55,6799,0,33281,392336,0,14232,131263,41822,21544,0,208861,601197
Greenwich,255138,9867,0,25916,31592,0,15434,5820,583,3606,0,3773,1760,1090,14382,0,3444,372405,1959,6364,72263,13161,38902,1504,134153,506558
Hackney,255220,11461,1752,37845,34857,0,16637,6147,707,3887,0,6163,1726,185,1387,0,14123,392097,0,5676,193966,31431,64136,0,295209,687306
Hammersmith and Fulham,90401,3360,825,24333,22505,0,10027,4018,618,2343,0,3383,988,1596,1429,0,2121,167947,0,5211,51389,8149,25414,0,90163,258110
Haringey,313301,0,0,22727,25224,0,9806,5023,572,2291,0,8605,0,1789,0,0,28511,417849,1749,0,156201,26789,49095,289,234123,651972
Harrow,165330,0,0,12288,16982,0,6664,4243,277,1557,2274,2342,0,82,2509,0,0,214548,482,183,66738,0,25790,0,93193,307741
Havering,169064,5331,2866,12287,18772,0,6825,4400,241,1595,0,2563,96,724,0,0,22283,247047,1235,0,44445,6239,24954,1486,78359,325406
Hillingdon,212730,8503,0,19396,20578,0,7468,4555,330,1745,0,2630,973,541,1803,0,31685,312937,1890,1428,62419,2873,23718,0,92328,405265
Hounslow,213791,11957,0,17329,20251,0,8174,4372,344,1910,0,3067,978,2703,13162,0,14396,312434,2884,0,60235,2573,30672,0,96364,408798
Islington,167783,11461,700,29435,30065,0,14501,5620,677,3388,0,10534,1425,615,1025,0,9739,286968,1129,3419,72167,0,72894,0,149609,436577
Kensington and Chelsea,79422,3455,797,23343,18339,0,7662,3792,368,1790,0,6397,929,35,0,0,5455,151784,0,0,60938,31214,20753,473,113378,265162
Kingston upon Thames,97668,2463,0,11400,9937,0,1840,2508,154,430,1436,1649,386,497,0,0,4386,134754,0,0,29194,6659,13220,0,49073,183827
Lambeth,255956,711,0,36000,33912,0,14946,6602,779,3492,0,6323,2254,1225,3676,0,35801,401677,2625,0,90768,28745,41151,0,163289,564966
Lewisham,277791,10666,4636,27557,30790,0,14942,5984,664,3491,0,5275,1557,1993,26559,0,0,411905,3657,3009,116519,10723,27577,35060,196545,608450
Merton,193129,5973,0,11709,13747,0,5010,3272,251,1171,216,1438,556,152,4797,0,7376,248797,32,8524,50200,5000,0,1226,64982,313779
Newham,267080,10195,2067,34229,36701,0,17193,6424,778,4017,0,11524,2140,2794,5646,0,2013,402801,0,4638,0,39796,171860,3460,219754,622555
Redbridge,302555,7870,3600,15409,22814,0,10081,4882,373,2356,0,5641,805,26,0,0,14264,390676,2760,23181,94789,28426,10914,1428,161498,552174
Richmond upon Thames,132385,3078,2276,10330,11655,0,776,2891,158,181,2612,1467,403,13,2194,0,9822,180241,0,0,42185,2478,0,304,44967,225208
Southwark,0,0,0,31126,36362,0,17847,6872,809,4170,0,5833,0,4445,0,0,165382,272846,0,0,46024,20034,60608,0,126666,399512
Sutton,137110,3066,1052,11019,12687,0,4067,3226,254,950,706,1830,514,257,0,0,4200,180938,164,1364,26166,7164,9554,2776,47188,228126
Tower Hamlets,433273,17120,2290,39224,34012,0,16810,6409,779,3928,0,6080,1786,2171,9380,0,6562,579824,36,15308,114298,25328,31634,14870,201474,781298
Waltham Forest,210226,7027,1105,17855,23491,0,9486,4763,490,2217,0,5640,854,1379,31053,0,4789,320375,552,0,138484,12682,35172,8436,195326,515701
Wandsworth,170307,6016,0,31163,33611,0,16985,5676,516,3969,0,4613,1322,6477,0,0,9264,289919,2021,1139,69341,13839,45037,787,132164,422083
Westminster,95065,5193,1131,35125,34761,0,17649,5789,631,4124,0,6979,1619,2441,410,0,16900,227817,9306,0,97541,39959,39959,0,186765,414582
