Ref,Councillor,Date received,Directorate,Service area,Classification,Complaint Summary
14873724,"Bacon, Cheryl",45247,Place,Parking Enforcement (Bexley and Bromley),Operations / Enforcement query,A resident lives in a school road and there are always issues with parents parking on the double yellow lines. 
14885252,"Bacon, Cheryl",45254,Place,Housing Services,Housing Allocations,Subject: Resident is currently living with her daughter in a one bedroom Privately rented flat which she cannot afford. Should would like some help/advice with securing an affordable Housing Association property.
15194648,"Bacon, Cheryl",45324,Educational Achievement & Inclusion,"Strategic Education Partnership, Improvement & Inclusion",Information and advice,Subject: Childcare Funding
14823268,"Diment, Richard",45243,Place,"Highways, Traffic and Infrastructure",Street lighting and other signs other,"Subject: Street Lighting - Mallard Walk, Sidcup."
15172124,"Diment, Richard",45321,Finance,Exchequer Services,Housing benefit,Resident has lived in his flat in Hadlow Road since 2009 and has been in receipt of Housing Benefit but this has been stopped as the Council believed that he had moved out of the flat.
15451504,"Diment, Richard",45384,Place,Environmental Services,Garden refuse collection,Subject: Garden Waste Bin
14291909,"Diment, Richard",45135,Adult Social Care & Health,Integrated Services for Older People,Blue Badges,Subject: Older Persons and Disabled Persons Freedom Passes
14760860,"Diment, Richard",45230,Place,Strategic Planning,ULEZ,Subject: Installation of ULEZ cameras
15036736,"Diment, Richard",45295,Place,"Highways, Traffic and Infrastructure",Operations / Enforcement query,Subject: Sidcup Parking - illegal parking
15048164,"Diment, Richard",45299,Place,"Highways, Traffic and Infrastructure",Utility company,"Subject: Loose Man hole cover, making a loud banging noise whenever a vehicle passes. - Faraday Avenue, near junction with Cleeve Pak Gardens."
14150564,"Diment, Richard",45110,Place,"Highways, Traffic and Infrastructure",Road Safety other,"Enquiry from Hope Community School regarding road safety concerns, 
 
 "
14963996,"Diment, Richard",45271,Place,Environmental Services,Road cleansing,Resident's concerns relate to activities and conduct of Local Building Supplies (LBS) 
15479744,"Diment, Richard",45391,Place,"Highways, Traffic and Infrastructure",Road Maintenance,Subject: Fencing between Grasssington Road Car Park and Manor House Site. Resident reported on Fix my Street and received a communication asking her whether it had been fixed. 
14563145,"Diment, Richard",45188,Place,Leisure Parks and Open Spaces,Hedge cutting,There is fly-tipping and overhanging plants on the pavement by Grassington Road car park. 
14180224,"Diment, Richard",45114,Place,Environmental Services,Clothing and textiles,Subject: Clothing Banks/Bins - Jenner Close and other locations.
15241884,"Diment, Richard",45330,Finance,Exchequer Services,Individual account enquiries,"We are chasing for Council tax on a property, but the resident moved out. "
14184320,"Diment, Richard",45117,Place,Housing Services,Homelessness & Housing Support,Resident has been illegally evicted from his home and is currently homeless. 
15148068,"Diment, Richard",45316,Place,"Highways, Traffic and Infrastructure",Utility company,Subject: The state of the Bus Shelters at Abbey Wood station
14992652,"Diment, Richard",45278,Adult Social Care & Health,Complex Care,Community Services invoicing - Administrative error,"Can no longer pay as the equity from her home has run out and they would like to know what assistance is avaiable.
"
14987952,"Diment, Richard",45274,Place,Environmental Services,Road cleansing,"A resident has complained that the fallen leaves in his road haven't been cleared for some time. 
"
15456100,"Diment, Richard",45385,Adult Social Care & Health,Integrated Commissioning,Personal budgets,"PIP is not something we manage in Adult Social Care.  However I will ask a member of our Triage team to give resident a call to see if they can advise her regarding getting support with this.
"
15799976,"Diment, Richard",45469,Place,Environmental Services,Weeds,"There is an area of land that is unkempt and is attracting anti-social behaviour. 
"
14995152,"Diment, Richard",45274,Place,Leisure Parks and Open Spaces,Firework displays in parks,Subject: This year's firework display in Danson Park appeared to no longer be run by a local Round Table. Have Bexley Council now taken it over or is it now being run by somebody else.
14686661,"Slaughter, June",45215,Place,"Highways, Traffic and Infrastructure",Kerbs - vehicle crossovers,Subject: Dropped kerb issues -  Larkfield Road Sidcup
14925308,"Slaughter, June",45264,Place,Housing Services,Housing Allocations,Subject: Overcrowding
15402340,"Slaughter, June",45370,Place,Planning and Regulation,Building regulations,"New owners moved in last year and they have been carrying out a comprehensive overhaul of the exterior including replacing boundary fencing, repairing their garage, installing new gateposts and back gate, and so on.
 
"
