ref,name,is_councillor,month,service_area,deputy_directorate
14862360,Adams,1,01/11/2023,Environmental Services,Place
15478744,Adams,1,01/02/2024,Environmental Services,Place
14232700,Amaning,1,01/07/2023,Libraries and Communities,Place
14260789,Amaning,1,01/07/2023,Exchequer Services,Finance
14284344,Amaning,1,01/07/2023,Exchequer Services,Finance
14316832,Amaning,1,01/08/2023,Libraries and Communities,Place
14368140,Amaning,1,01/08/2023,Planning and Regulation,Place
14427444,Amaning,1,01/08/2023,Housing Services,Place
14433008,Amaning,1,01/08/2023,Housing Services,Place
14452660,Amaning,1,01/08/2023,Housing Services,Place
14735936,Amaning,1,01/10/2023,Housing Services,Place
14897816,Amaning,1,01/11/2023,Housing Services,Place
14934804,Amaning,1,01/12/2023,0-25 SEND,Educational Achievement & Inclusion
14971760,Amaning,1,01/12/2023,"Highways, Traffic and Infrastructure",Place
15192248,Amaning,1,01/02/2024,Housing Services,Place
15341228,Amaning,1,01/03/2024,Housing Services,Place
15356884,Amaning,1,01/03/2024,Environmental Services,Place
15399544,Amaning,1,01/03/2024,Exchequer Services,Finance
15462220,Amaning,1,01/04/2024,Housing Services,Place
15539453,Amaning,1,01/04/2024,Exchequer Services,Finance
15555709,Amaning,1,01/04/2024,"Highways, Traffic and Infrastructure",Place
15588316,Amaning,1,01/04/2024,Housing Services,Place
15633956,Amaning,1,01/05/2024,Housing Services,Place
15635956,Amaning,1,01/05/2024,Housing Services,Place
15805040,Amaning,1,01/06/2024,Complaints and FOI Team,Finance
14285344,Asunramu,1,01/07/2023,Housing Services,Place
14759860,Asunramu,1,01/10/2023,0-25 SEND,Educational Achievement & Inclusion
15081048,Asunramu,1,01/01/2024,Housing Services,Place
15081748,Asunramu,1,01/01/2024,Housing Services,Place
15085248,Asunramu,1,01/01/2024,Environmental Services,Place
15094712,Asunramu,1,01/01/2024,Libraries and Communities,Place
15133004,Asunramu,1,01/01/2024,Housing Services,Place
15401144,Asunramu,1,01/03/2024,Planning and Regulation,Place
15574188,Asunramu,1,01/04/2024,Parking Enforcement (Bexley and Bromley),Place
15576888,Asunramu,1,01/04/2024,Parking Enforcement (Bexley and Bromley),Place
