Date,Person,Party,Is Local,Question
20/07/2022,Amaning,Labour,0,Could the Cabinet Member tell us the number of missed bin collections that have been reported each month since November 2021?
20/07/2022,Amaning,Labour,0,Could the Cabinet Member inform us of any additional support for families where there are two or more children on the spectrum identified from recent autism assessments?
20/07/2022,Amaning,Labour,0,Could you please state how many citizens from Ukraine and Afghanistan have resettled or presented as homeless in Bexley?
20/07/2022,Amaning,Labour,0,Could the Cabinet Member please provide reassurances that ongoing discussions are taking place with Bexley’s Chief Superintendent to address concerns and increase public confidence after recent revelations and scandals involving conduct of officers at Bexleyheath police station?
20/07/2022,Asunramu,Labour,1,"Could the Cabinet Member outline the support that will be provided to Welling School in order to address the concerns from the recent Ofsted report, in particular around bullying, and to ensure pupils are able to flourish within the educational environment?"
20/07/2022,Asunramu,Labour,0,"Following news that Calcote Services for Children, which were due to be commissioned by this Council, have been found to have children in their care who were groomed and sexually assaulted, will there be a re-assessment of due diligence practices when making appointments?"
20/07/2022,Asunramu,Labour,0,Could the Cabinet Member detail plans in place to improve retention of Social Workers and encourage more people within the Borough to consider becoming a Social Worker?
20/07/2022,Bacon,Conservatives,0,Could the Cabinet Member update Members on how the grounds maintenance contract is working following additional investment in the service?
20/07/2022,Borella,Labour,0,"Following the LGA's recent analysis regarding unfunded National Living Wage increases, what is the Cabinet Member's analysis of the costs to the Council of ensuring all staff and contractors receive these increases over the next two years?"
20/07/2022,Borella,Labour,0,What partnership work has been undertaken with stakeholders and neighbouring Boroughs to assess bringing the DLR into Belvedere?
20/07/2022,Borella,Labour,0,Could you state how many yearly carer assessments are outstanding?
20/07/2022,Borella,Labour,0,Is it acceptable that Bexley residents are having to wait 12 hours to be seen in Accident and Emergency departments in hospital?
20/07/2022,Carew,Conservatives,1,As one of the Bexleyheath Ward Councillors I would be grateful if the Cabinet Member for Places can give us an update on the sinkhole in Martens Avenue?
20/07/2022,Catterall,Conservatives,0,Would the Cabinet Member provide an update on the recent Carers Week culminating in the event at the Holiday Inn?
20/07/2022,Davey,Conservatives,0,Can the Cabinet Member for Places tell us what the Council's response to the Mayor of London's consultation on the expansion of the ULEZ will be and why?
20/07/2022,Day,Labour,0,What steps is the Government taking to help residents of Bexley deal with the cost-of-living crisis?
20/07/2022,Day,Labour,0,"Could the Cabinet Member provide clarity on the percentage of homeless, due to domestic abuse, applications which have progressed into prevention/ relief where domestic abuse is recorded in 2020, 2021 and 2022?"
20/07/2022,Day,Labour,0,Could the Cabinet Member confirm that Bexley Council and our housing providers are DAHA accredited?
20/07/2022,Dourmoush,Conservatives,0,Can the Cabinet Member for Resources give an update on the rollout of the various grants received from the government?
20/07/2022,Ferguson,Labour,1,Could the Cabinet Member outline the recycling options available to the residents in tower blocks in Thamesmead East that have been without access to recycling bins for 3 years and the present efforts being made to restore these services to them?
20/07/2022,Francis,Labour,0,"Could the Cabinet Member confirm how many of the 31,000 cheques sent to residents for their £150 Council Tax Energy Rebate have been cashed?"
20/07/2022,Francis,Labour,0,"Could the Cabinet Member confirm, based on the information currently available to him, whether he believes the collection fund will be in deficit or surplus at the end of the current financial year?"
20/07/2022,Francis,Labour,0,"Could the Cabinet Member confirm whether he supports Scope's Let's Play Fair campaign and if so, what measures he plans to ensure greater accessibility is introduced to playgrounds across the Borough in addition to what is already available, over the lifetime of this administration?"
20/07/2022,Hinkley,Labour,0,Could the Cabinet Member confirm the timeframe in which residents should expect their reports to Fix my Street on fly tipping to be dealt with?
20/07/2022,Hinkley,Labour,0,Could we have a breakdown of the last 3 years for housing outcomes for young care leavers following the end of placements?
20/07/2022,Jackson,Conservatives,0,"Would the Cabinet Member join me in welcoming American Golf to operate the course at Barnehurst, and thanking everyone from the Council and American Golf for all the work that delivered this outcome?"
20/07/2022,Ogundayo,Labour,0,"Could the Leader confirm which Cabinet Member is responsible for coordinating climate actions across different departments and functions, after the Council declared a climate emergency in April 2022?"
20/07/2022,Ogundayo,Labour,0,Could the Cabinet Member confirm how much the Council has generated in fines from litter enforcement fines in the last 12 months?
20/07/2022,Ogundayo,Labour,0,Could the Cabinet Member outline steps that are being taken to encourage residents to use more sustainable forms of transport?
