accident_index,longitude,latitude,number_of_vehicles,number_of_casualties,date,time,road_type,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,age_group_of_casualty
a2022010420634,0.104059,51.425844,1,1,31/12/2022,11:30,Single carriageway,30,Unknown,Zebra Crossing,Daylight,1,Dry,Female,54,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2022010417321,0.145375,51.494034,1,1,19/12/2022,18:24,Dual carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,2,Wet,Male,30,Slight,On footway or verge,Adult
a2022010416782,0.120406,51.43126,1,1,16/12/2022,14:15,Dual carriageway,30,Junction more than four arms,Zebra Crossing,Daylight,1,Frost/Ice,Female,72,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult
a2022010416446,0.105996,51.462653,1,1,14/12/2022,14:28,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Frost/Ice,Male,46,Slight,"In carriageway, crossing elsewhere",Adult
a2022010415456,0.151288,51.491111,1,1,09/12/2022,16:00,Single carriageway,30,Other,Zebra Crossing,Daylight,1,Frost/Ice,Male,16,Serious,"In carriageway, crossing on pedestrian crossing facility",Child
a2022010415307,0.182037,51.463205,1,1,25/11/2022,16:35,Roundabout,30,Roundabout,Unknown,Daylight,8,Dry,Male,13,Slight,Unknown,Child
a2022010415226,0.096954,51.426816,1,1,08/12/2022,08:40,Single carriageway,20,T or staggered junction,No physical crossing facility within 50m,Daylight,8,Frost/Ice,Female,43,Slight,"In centre of carriageway, not on refuge",Adult
a2022010415003,0.155206,51.452927,1,1,05/12/2022,08:05,Single carriageway,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,12,Slight,On footway or verge,Child
a2022010414157,0.143337,51.45765,1,1,02/12/2022,16:20,Single carriageway,20,Mini roundabout,No physical crossing facility within 50m,Darkness: street lights present and lit,8,Wet,Male,12,Serious,Unknown,Child
a2022010414110,0.149331,51.441533,1,1,02/12/2022,21:10,Single carriageway,20,Not at or within 20 metres of junction,"Pelican, puffin, toucan",Darkness: street lights present and lit,1,Wet,Female,24,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2022010413772,0.15807,51.490123,2,1,30/11/2022,23:45,Single carriageway,30,Not at or within 20 metres of junction,Zebra Crossing,Darkness: street lights present and lit,2,Wet,Male,29,Slight,On footway or verge,Adult
