accident_index,longitude,latitude,number_of_vehicles,number_of_casualties,date,time,road_type,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,age_group_of_casualty,type,year,label,name,is_surveyed,num_collisions_dimitri,distance_to_collision,project,num_collisions_bexley,avg_four_peak_adpv2,max_one_hour_adpv2
a2022010420634,0.104059,51.425844,1.0,1.0,2022-12-31,11:30,Single carriageway,30.0,Unknown,Zebra Crossing,Daylight,1.0,Dry,Female,54.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010417321,0.145375,51.494034,1.0,1.0,2022-12-19,18:24,Dual carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,2.0,Wet,Male,30.0,Slight,On footway or verge,Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010416782,0.120406,51.43126,1.0,1.0,2022-12-16,14:15,Dual carriageway,30.0,Junction more than four arms,Zebra Crossing,Daylight,1.0,Frost/Ice,Female,72.0,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010416446,0.105996,51.462653,1.0,1.0,2022-12-14,14:28,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Frost/Ice,Male,46.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010415456,0.151288,51.491111,1.0,1.0,2022-09-12,16:00,Single carriageway,30.0,Other,Zebra Crossing,Daylight,1.0,Frost/Ice,Male,16.0,Serious,"In carriageway, crossing on pedestrian crossing facility",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010415307,0.182037,51.463205,1.0,1.0,2022-11-25,16:35,Roundabout,30.0,Roundabout,Unknown,Daylight,8.0,Dry,Male,13.0,Slight,Unknown,Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010415226,0.096954,51.426816,1.0,1.0,2022-08-12,08:40,Single carriageway,20.0,T or staggered junction,No physical crossing facility within 50m,Daylight,8.0,Frost/Ice,Female,43.0,Slight,"In centre of carriageway, not on refuge",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010415003,0.155206,51.452927,1.0,1.0,2022-05-12,08:05,Single carriageway,20.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,12.0,Slight,On footway or verge,Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010414157,0.143337,51.45765,1.0,1.0,2022-02-12,16:20,Single carriageway,20.0,Mini roundabout,No physical crossing facility within 50m,Darkness: street lights present and lit,8.0,Wet,Male,12.0,Serious,Unknown,Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010414110,0.149331,51.441533,1.0,1.0,2022-02-12,21:10,Single carriageway,20.0,Not at or within 20 metres of junction,"Pelican, puffin, toucan",Darkness: street lights present and lit,1.0,Wet,Female,24.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010413772,0.15807,51.490123,2.0,1.0,2022-11-30,23:45,Single carriageway,30.0,Not at or within 20 metres of junction,Zebra Crossing,Darkness: street lights present and lit,2.0,Wet,Male,29.0,Slight,On footway or verge,Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010411299,0.167956,51.489303,1.0,1.0,2022-11-18,06:23,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Male,21.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010411135,0.098576,51.46659,1.0,1.0,2022-11-17,15:30,Unknown,30.0,Using private drive or entrance,Unknown,Daylight,9.0,Unknown,Female,9.0,Slight,On footway or verge,Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010410749,0.12705,51.473604,1.0,1.0,2022-11-15,20:24,Single carriageway,30.0,Mini roundabout,Central refuge,Darkness: street lights present and lit,1.0,Wet,Male,53.0,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010409797,0.150716,51.442218,1.0,1.0,2022-10-11,08:30,Unknown,30.0,T or staggered junction,Zebra Crossing,Darkness: street lights present and lit,1.0,Dry,Female,37.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010409788,0.137971,51.457712,1.0,1.0,2022-10-11,18:55,Single carriageway,20.0,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Female,76.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010409773,0.100504,51.45089,1.0,1.0,2022-10-11,15:45,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,6.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010409600,0.136161,51.457799,1.0,1.0,2022-10-11,08:54,Unknown,30.0,Junction more than four arms,Unknown,Daylight,9.0,Unknown,Female,42.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010409371,0.156548,51.494207,1.0,1.0,2022-09-11,11:45,One-way street,30.0,Roundabout,No physical crossing facility within 50m,Daylight,1.0,Wet,Male,48.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010409249,0.175268,51.478591,1.0,2.0,2022-08-11,15:51,Single carriageway,30.0,Other,No physical crossing facility within 50m,Darkness: street lights present and lit,8.0,Wet,Male,10.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010409249,0.175268,51.478591,1.0,2.0,2022-08-11,15:51,Single carriageway,30.0,Other,No physical crossing facility within 50m,Darkness: street lights present and lit,8.0,Wet,Male,10.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2022.0,C2022,,,,,,,,
