year,project,name,latitude,longitude
2017,Public realm scheme,Albion Road west of Royal Oak Road,51.45579519,0.142308939
2017,Public realm scheme,Albion Road near Townley Road,51.45541783,0.144257668
2017,Public realm scheme,Albion Road near Pincott Road,51.45489927,0.147731521
2017,Public realm scheme,Albion Road near Highland Road,51.45484687,0.148611823
2017,Public realm scheme,Albion Road west of Gravel Hill,51.45434609,0.151722675
2017,Public realm scheme,Gravel Hill north of Albion Road,51.45456003,0.15242005
2017,Public realm scheme,Gravel Hill north of Lynsted Close,51.45355914,0.152137545
2017,Public realm scheme,Broadway ,51.45542778,0.153030029
2018,Public realm scheme,Harrow Manorway flyover,,
2019,Public realm scheme,Harrow Manorway south of Yarnton Way,51.49580587,0.121176336
2021,Public realm scheme,Harrow Manorway north of Yarnton Way,51.49674099,0.121144149
2022,Public realm scheme,Harrow Manorway north of Godstow Road,51.49723525,0.121165607
2019,Public realm scheme,Eynsham Drive west of Harrow Manorway,51.49624375,0.12029408
2019,Public realm scheme,Yarnton Way east of Harrow Manorway,51.49622107,0.119999332
2017,Miscellaneous,Alsike Road near Parkway Primary School,51.49310069,0.133795314
2017,Miscellaneous,Hurst Road near no. 73,51.43469632,0.108297029
2017,Miscellaneous,Colyers Lane near Northumberland Way,51.47160029,0.169514695
2017,Miscellaneous,Upper Wickham Lane near Queens Road,51.46893854,0.110047027
2017,Miscellaneous,Blackfen Road near no. 437,51.44895973,0.113794964
2018,Miscellaneous,Hurst Road near no. 387,51.4391037,0.125343308
2019,Miscellaneous,Yarnton Way near Northwood Place,51.49391809,0.137805015
2019,Miscellaneous,Main Road near Northcote Road,51.42888447,0.088829269
2019,Miscellaneous,Bourne Road near Hall Place Crescent,51.45104525,0.16820993
2021,Miscellaneous,Long Lane near no. 36,51.46275507,0.151538465
2021,Miscellaneous,Erith Road near no. 131 - Trinity School,51.48515007,0.160593842
2022,Public realm scheme,Erith High Street near Saltford Close,51.48185253,0.180342194
