accident_index,accident_year_x,accident_reference_x,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_ons_district,local_authority_highway,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,lsoa_of_accident_location,accident_year_y,accident_reference_y,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile,lsoa_of_casualty
a2022010420634,2022,10420634,546379.0,171748.0,0.104059,51.425844,1,3,1,1,31/12/2022,7,11:30,-1,E09000004,E09000004,3,211,6,30,99,9,6,0,9,1,1,1,1,0,0,1,3,2,E01000457,2022,010420634,1,1,3,2,54,8,3,1,9,0,0,0,0,1,7,E01000693
a2022010417321,2022,10417321,549029.0,179414.0,0.145375,51.494034,1,3,1,1,19/12/2022,2,18:24,-1,E09000004,E09000004,5,0,3,30,3,4,6,0,0,0,4,2,2,0,0,2,1,2,E01000465,2022,010417321,1,1,3,1,30,6,3,6,9,0,0,0,0,1,2,E01000422
a2022010416782,2022,10416782,547498.0,172383.0,0.120406,51.43126,1,2,1,1,16/12/2022,6,14:15,-1,E09000004,E09000004,5,0,3,30,7,4,6,0,0,1,1,1,4,0,0,1,1,2,E01000382,2022,010416782,1,1,3,2,72,10,2,1,1,0,0,0,0,1,9,E01000382
a2022010416446,2022,10416446,546396.0,175845.0,0.105996,51.462653,1,3,1,1,14/12/2022,4,14:28,-1,E09000004,E09000004,3,207,6,30,3,4,5,0,0,0,1,1,4,0,0,1,3,2,E01000414,2022,010416446,1,1,3,1,46,8,3,5,3,0,0,0,0,1,6,E01024161
a2022010415456,2022,10415456,549449.0,179101.0,0.151288,51.491111,1,2,1,1,09/12/2022,6,16:00,-1,E09000004,E09000004,4,213,6,30,9,4,4,250,0,1,1,1,4,0,0,1,1,2,E01000336,2022,010415456,1,1,3,1,16,4,2,1,9,0,0,0,0,1,4,E01000439
a2022010415307,2022,10415307,551676.0,176061.0,0.182037,51.463205,1,3,1,1,25/11/2022,6,16:35,-1,E09000004,E09000004,3,2000,1,30,1,2,3,206,9,9,1,8,1,0,0,1,3,2,E01000380,2022,010415307,1,1,3,1,13,3,3,10,9,0,0,0,0,1,3,E01000435
a2022010415226,2022,10415226,545882.0,171842.0,0.096954,51.426816,1,3,1,1,08/12/2022,5,08:40,-1,E09000004,E09000004,6,0,6,20,3,4,3,211,0,0,1,8,4,0,0,1,3,2,E01000428,2022,010415226,1,1,3,2,43,7,3,8,1,0,0,0,0,1,7,E01000427
a2022010415003,2022,10415003,549846.0,174863.0,0.155206,51.452927,1,3,1,1,05/12/2022,2,08:05,-1,E09000004,E09000004,6,0,6,20,0,-1,0,-1,9,0,1,1,1,0,0,1,3,2,E01000329,2022,010415003,1,1,3,1,12,3,3,6,9,0,0,0,0,1,4,E01001694
a2022010414157,2022,10414157,549006.0,175364.0,0.143337,51.45765,1,2,1,1,02/12/2022,6,16:20,-1,E09000004,E09000004,5,0,6,20,2,4,6,0,0,0,4,8,2,0,0,1,3,2,E01000365,2022,010414157,1,1,3,1,12,3,2,10,9,0,0,0,0,1,7,E01000362
a2022010414110,2022,10414110,549475.0,173584.0,0.149331,51.441533,1,3,1,1,02/12/2022,6,21:10,-1,E09000004,E09000004,3,222,6,20,0,-1,0,-1,0,4,4,1,2,0,0,1,3,2,E01000447,2022,010414110,1,1,3,2,24,5,3,1,1,0,0,0,0,1,6,E01024152
a2022010413772,2022,10413772,549923.0,179005.0,0.15807,51.490123,1,3,2,1,30/11/2022,4,23:45,-1,E09000004,E09000004,3,2016,6,30,0,-1,0,-1,0,1,4,2,2,0,0,1,1,2,E01000408,2022,010413772,2,1,3,1,29,6,3,6,9,0,0,0,0,-1,-1,-1
a2022010411299,2022,10411299,550612.0,178934.0,0.167956,51.489303,1,3,1,1,18/11/2022,6,06:23,-1,E09000004,E09000004,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,2,E01000405,2022,010411299,1,1,3,1,21,5,3,5,1,0,0,0,0,1,2,E01001576
a2022010411135,2022,10411135,545868.0,176268.0,0.098576,51.46659,1,3,1,1,17/11/2022,5,15:30,-1,E09000004,E09000004,6,0,9,30,8,4,6,0,9,9,1,9,9,9,9,1,3,2,E01000400,2022,010411135,1,1,3,2,9,2,3,6,9,0,0,0,0,1,7,E01000400
a2022010410749,2022,10410749,547823.0,177105.0,0.12705,51.473604,1,3,1,1,15/11/2022,3,20:24,-1,E09000004,E09000004,5,0,6,30,2,4,6,0,0,8,4,1,2,0,0,1,1,2,E01000359,2022,010410749,1,1,3,1,53,8,3,4,1,0,0,0,0,1,5,E01000402
a2022010409797,2022,10409797,549569.0,173663.0,0.150716,51.442218,1,3,1,1,10/11/2022,5,08:30,-1,E09000004,E09000004,3,223,9,30,3,4,6,0,0,1,4,1,1,0,0,1,3,2,E01000447,2022,010409797,1,1,3,2,37,7,3,1,3,0,0,0,0,1,8,E01000447
a2022010409788,2022,10409788,548633.0,175360.0,0.137971,51.457712,1,3,1,1,10/11/2022,5,18:55,-1,E09000004,E09000004,5,0,6,20,3,4,3,207,0,0,4,1,1,0,0,1,1,2,E01000360,2022,010409788,1,1,3,2,76,11,3,5,1,0,0,0,0,1,6,E01000330
a2022010409773,2022,10409773,546052.0,174526.0,0.100504,51.45089,1,3,1,1,10/11/2022,5,15:45,-1,E09000004,E09000004,3,210,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,2,E01000343,2022,010409773,1,1,3,1,6,2,3,5,1,0,0,0,0,1,6,E01001598
a2022010409600,2022,10409600,548507.0,175366.0,0.136161,51.457799,1,3,1,1,10/11/2022,5,08:54,-1,E09000004,E09000004,6,0,9,30,7,4,3,207,9,9,1,9,9,9,9,1,3,2,E01000360,2022,010409600,1,1,3,2,42,7,3,1,1,0,0,0,0,1,7,E01000389
a2022010409371,2022,10409371,549804.0,179456.0,0.156548,51.494207,1,3,1,1,09/11/2022,4,11:45,-1,E09000004,E09000004,3,2016,2,30,1,4,6,0,0,0,1,1,2,0,0,1,1,2,E01000335,2022,010409371,1,1,3,1,48,8,3,5,3,0,0,0,0,1,5,E01033741
a2022010409249,2022,10409249,551155.0,177758.0,0.175268,51.478591,1,3,1,2,08/11/2022,3,15:51,-1,E09000004,E09000004,6,0,6,30,9,4,6,0,0,0,4,8,2,0,0,1,1,2,E01000407,2022,010409249,1,1,3,1,10,2,3,5,1,0,0,0,0,-1,-1,-1
a2022010409249,2022,10409249,551155.0,177758.0,0.175268,51.478591,1,3,1,2,08/11/2022,3,15:51,-1,E09000004,E09000004,6,0,6,30,9,4,6,0,0,0,4,8,2,0,0,1,1,2,E01000407,2022,010409249,1,2,3,1,10,2,3,5,1,0,0,0,0,-1,-1,-1
a2022010409173,2022,10409173,545939.0,175942.0,0.099463,51.463642,1,3,1,1,08/11/2022,3,11:28,-1,E09000004,E09000004,3,207,6,30,3,2,5,0,0,4,1,2,2,0,0,1,1,2,E01000414,2022,010409173,1,1,3,2,57,9,3,6,9,0,0,0,0,1,5,E01000454
a2022010409012,2022,10409012,546184.0,176191.0,0.10309,51.465817,1,2,1,1,07/11/2022,2,17:05,-1,E09000004,E09000004,6,0,6,30,3,4,6,0,0,0,6,2,2,0,0,1,1,2,E01000401,2022,010409012,1,1,3,2,67,10,2,5,3,0,0,0,0,1,4,E01000401
a2022010408454,2022,10408454,546507.0,175831.0,0.107587,51.462498,1,3,2,1,04/11/2022,6,12:10,-1,E09000004,E09000004,3,207,6,30,3,2,3,209,0,5,1,1,1,0,0,1,3,2,E01000414,2022,010408454,2,1,3,1,15,3,3,5,3,0,0,0,0,1,7,E01000388
a2022010408433,2022,10408433,549379.0,175280.0,0.148666,51.456797,1,2,1,1,04/11/2022,6,12:45,-1,E09000004,E09000004,5,0,7,20,8,4,6,0,0,1,1,1,1,0,0,1,1,2,E01000362,2022,010408433,1,1,3,2,51,8,2,6,9,0,0,0,0,1,6,E01000330
a2022010407112,2022,10407112,551667.0,174425.0,0.181207,51.448507,1,3,1,1,27/10/2022,5,11:30,-1,E09000004,E09000004,5,0,6,20,99,9,6,0,0,0,1,8,1,0,0,1,3,2,E01000379,2022,010407112,1,1,3,2,15,3,3,8,9,0,0,0,0,1,6,E01024180
a2022010406320,2022,10406320,551149.0,176969.0,0.174844,51.471504,1,2,1,1,24/10/2022,2,16:20,-1,E09000004,E09000004,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,2,E01000367,2022,010406320,1,1,3,2,70,10,2,8,3,0,0,0,0,1,3,E01000367
a2022010406170,2022,10406170,549566.0,173631.0,0.150659,51.441932,1,3,1,1,22/10/2022,7,17:00,-1,E09000004,E09000004,3,223,6,20,8,4,6,0,0,1,1,2,2,0,0,1,1,2,E01000447,2022,010406170,1,1,3,1,68,10,3,5,3,0,0,0,0,1,2,E01003977
a2022010406025,2022,10406025,547327.0,170888.0,0.117327,51.417871,1,3,1,1,22/10/2022,7,15:48,-1,E09000004,E09000004,3,224,6,30,9,4,6,0,0,0,1,1,1,0,0,1,1,2,E01000386,2022,010406025,1,1,3,2,5,1,3,5,1,0,0,0,0,1,5,E01000738
a2022010405663,2022,10405663,552557.0,177221.0,0.19521,51.47339,1,2,1,1,20/10/2022,5,16:05,-1,E09000004,E09000004,6,0,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,2,E01000430,2022,010405663,1,1,3,1,16,4,2,5,2,0,0,0,0,1,5,E01000430
