borough,year,value,borough_right,inner_outer,area,population,party,value_per_capita
Barking and Dagenham,2016,2190630,Barking and Dagenham,Outer London,13.93,212906,Labour,10.289188656026603
Barnet,2016,4682956,Barnet,Outer London,33.49,395896,Labour,11.828753005839918
Bexley,2016,4009921,Bexley,Outer London,23.38,248287,Conservatives,16.15034617197034
Brent,2016,3854048,Brent,Outer London,16.7,329771,Labour,11.687043433170292
Bromley,2016,4294500,Bromley,Outer London,57.97,332336,Conservatives,12.922163112031198
Camden,2016,4197308,Camden,Inner London,8.4,270029,Labour,15.543915653503882
Westminster,2016,8758155,Westminster,Inner London,8.29,261317,Labour,33.515442929468804
Croydon,2016,4733809,Croydon,Outer London,33.41,386710,Conservatives,12.241237619921906
Ealing,2016,4005596,Ealing,Outer London,21.44,341806,Labour,11.718916578409976
Enfield,2016,4826500,Enfield,Outer London,31.74,333794,Labour,14.459516947578447
Greenwich,2016,4899045,Greenwich,Outer London,18.28,287942,Labour,17.013999347090735
Hackney,2016,4122000,Hackney,Inner London,7.36,281120,Labour,14.662777461582243
Hammersmith and Fulham,2016,3329500,Hammersmith and Fulham,Inner London,6.33,185143,Labour,17.983396617749523
Haringey,2016,4762492,Haringey,Outer London,11.42,268647,Labour,17.7276947071808
Harrow,2016,2599154,Harrow,Outer London,19.49,251160,Conservatives,10.348598502946329
Havering,2016,2908444,Havering,Outer London,43.35,259552,Other,11.205631241523857
Hillingdon,2016,3988249,Hillingdon,Outer London,44.67,306870,Conservatives,12.996542509857594
Hounslow,2016,2786000,Hounslow,Outer London,21.61,271523,Labour,10.260640903348888
Islington,2016,2758393,Islington,Inner London,5.74,242467,Labour,11.376364618690378
Kensington and Chelsea,2016,3258908,Kensington and Chelsea,Inner London,4.68,156129,Labour,20.873175387019707
Kingston upon Thames,2016,2815188,Kingston upon Thames,Outer London,14.38,177507,LibDem,15.859588635941117
Lambeth,2016,4061183,Lambeth,Inner London,10.36,326034,Labour,12.456317439285474
Lewisham,2016,3995670,Lewisham,Inner London,13.57,305842,Labour,13.064490815519124
Merton,2016,2402880,Merton,Outer London,14.52,206548,Labour,11.633518601003157
Newham,2016,3329440,Newham,Outer London,13.98,353134,Labour,9.428262359331018
Redbridge,2016,3451277,Redbridge,Outer London,21.78,305222,Labour,11.307431967551487
Richmond upon Thames,2016,2618694,Richmond upon Thames,Outer London,22.17,198019,LibDem,13.224458259055949
Southwark,2016,4514000,Southwark,Inner London,11.14,318830,Labour,14.158015243233072
Sutton,2016,1622000,Sutton,Outer London,16.93,206349,LibDem,7.860469398930937
Tower Hamlets,2016,3551000,Tower Hamlets,Inner London,7.63,324745,Labour,10.934733406211027
Waltham Forest,2016,4460889,Waltham Forest,Outer London,14.99,276983,Labour,16.105280829509393
Wandsworth,2016,3139925,Wandsworth,Inner London,13.23,329677,Labour,9.524246459413305
Barking and Dagenham,2017,2102000,Barking and Dagenham,Outer London,13.93,212906,Labour,9.872901656129935
Barnet,2017,4911379,Barnet,Outer London,33.49,395896,Labour,12.40573029280417
Bexley,2017,2627129,Bexley,Outer London,23.38,248287,Conservatives,10.581017129370446
Brent,2017,3408505,Brent,Outer London,16.7,329771,Labour,10.335975570926491
Bromley,2017,3712300,Bromley,Outer London,57.97,332336,Conservatives,11.170321602233884
Camden,2017,3046842,Camden,Inner London,8.4,270029,Labour,11.283388080539497
Westminster,2017,5065804,Westminster,Inner London,8.29,261317,Labour,19.38566568573801
Croydon,2017,5193985,Croydon,Outer London,33.41,386710,Conservatives,13.431214605259756
Ealing,2017,3829200,Ealing,Outer London,21.44,341806,Labour,11.202846058875503
Enfield,2017,4287165,Enfield,Outer London,31.74,333794,Labour,12.843744944486719
Greenwich,2017,3656664,Greenwich,Outer London,18.28,287942,Labour,12.699307499426968
Hackney,2017,2838000,Hackney,Inner London,7.36,281120,Labour,10.09533295389869
Hammersmith and Fulham,2017,3071000,Hammersmith and Fulham,Inner London,6.33,185143,Labour,16.587178559275802
Haringey,2017,2920750,Haringey,Outer London,11.42,268647,Labour,10.87207376222329
Harrow,2017,2452995,Harrow,Outer London,19.49,251160,Conservatives,9.766662685140947
Havering,2017,2850169,Havering,Outer London,43.35,259552,Other,10.981109758352854
Hillingdon,2017,3131408,Hillingdon,Outer London,44.67,306870,Conservatives,10.204347117671979
Hounslow,2017,2646000,Hounslow,Outer London,21.61,271523,Labour,9.745030807703214
Islington,2017,2190778,Islington,Inner London,5.74,242467,Labour,9.035365637385706
Kensington and Chelsea,2017,2092000,Kensington and Chelsea,Inner London,4.68,156129,Labour,13.399176322143868
Kingston upon Thames,2017,1897001,Kingston upon Thames,Outer London,14.38,177507,LibDem,10.68690812193322
Lambeth,2017,3090985,Lambeth,Inner London,10.36,326034,Labour,9.480560309660955
Lewisham,2017,2664565,Lewisham,Inner London,13.57,305842,Labour,8.712227228438213
Merton,2017,1837025,Merton,Outer London,14.52,206548,Labour,8.893937486685903
Newham,2017,3392290,Newham,Outer London,13.98,353134,Labour,9.606240124145508
Redbridge,2017,2617679,Redbridge,Outer London,21.78,305222,Labour,8.57631166822837
Richmond upon Thames,2017,3327005,Richmond upon Thames,Outer London,22.17,198019,LibDem,16.80144329584535
Southwark,2017,3709000,Southwark,Inner London,11.14,318830,Labour,11.633158736630806
Sutton,2017,1238191,Sutton,Outer London,16.93,206349,LibDem,6.000470077393154
